"Human Development Index (HDI)","Country","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"170"," Afghanistan","0.431","0.436","0.447","0.464","0.465","0.479","0.485","0.488","0.490","0.491","0.493","0.496"
"69"," Albania","0.718","0.724","0.729","0.740","0.759","0.771","0.781","0.787","0.788","0.788","0.789","0.791"
"82"," Algeria","0.708","0.711","0.720","0.730","0.738","0.737","0.746","0.749","0.751","0.755","0.758","0.759"
"36"," Andorra","0.829","0.831","0.830","0.828","0.827","0.849","0.846","0.853","0.850","0.854","0.852","0.857"
"149"," Angola","0.482","0.494","0.508","0.510","0.525","0.537","0.547","0.557","0.565","0.570","0.576","0.574"
"74"," Antigua and Barbuda","0.784","0.783","0.776","0.772","0.764","0.767","0.767","0.767","0.770","0.772","0.774","0.776"
"48"," Argentina","0.806","0.810","0.810","0.818","0.823","0.823","0.824","0.825","0.828","0.828","0.832","0.830"
"81"," Armenia","0.724","0.727","0.724","0.729","0.733","0.737","0.743","0.746","0.748","0.751","0.758","0.760"
"6"," Australia","0.908","0.922","0.923","0.926","0.928","0.932","0.926","0.929","0.933","0.935","0.937","0.938"
"20"," Austria","0.881","0.884","0.886","0.895","0.897","0.899","0.896","0.904","0.906","0.909","0.912","0.914"
"87"," Azerbaijan","0.712","0.721","0.734","0.732","0.731","0.736","0.741","0.746","0.749","0.749","0.752","0.754"
"60"," Bahamas","0.794","0.794","0.793","0.795","0.795","0.797","0.797","0.796","0.799","0.800","0.804","0.805"
"45"," Bahrain","0.796","0.796","0.794","0.796","0.798","0.800","0.807","0.810","0.834","0.839","0.839","0.838"
"135"," Bangladesh","0.521","0.524","0.535","0.549","0.559","0.567","0.572","0.572","0.588","0.599","0.609","0.614"
"56"," Barbados","0.796","0.799","0.801","0.799","0.802","0.811","0.812","0.812","0.812","0.814","0.813","0.813"
"50"," Belarus","0.756","0.774","0.784","0.792","0.798","0.803","0.808","0.811","0.811","0.812","0.815","0.817"
"17"," Belgium","0.899","0.899","0.899","0.903","0.904","0.905","0.908","0.910","0.913","0.915","0.917","0.919"
"103"," Belize","0.678","0.683","0.688","0.693","0.699","0.706","0.707","0.710","0.715","0.722","0.719","0.720"
"163"," Benin","0.455","0.462","0.468","0.473","0.479","0.489","0.500","0.505","0.510","0.512","0.515","0.520"
"134"," Bhutan","0.539","0.547","0.559","0.571","0.581","0.591","0.594","0.601","0.606","0.610","0.615","0.617"
"114"," Bolivia (Plurinational State of)","0.638","0.647","0.651","0.656","0.660","0.663","0.673","0.678","0.685","0.692","0.700","0.703"
"75"," Bosnia and Herzegovina","0.713","0.720","0.720","0.714","0.722","0.741","0.748","0.754","0.755","0.765","0.767","0.769"
"94"," Botswana","0.625","0.638","0.647","0.660","0.676","0.687","0.699","0.709","0.714","0.719","0.724","0.728"
"79"," Brazil","0.705","0.716","0.718","0.726","0.730","0.734","0.752","0.755","0.755","0.757","0.760","0.761"
"43"," Brunei Darussalam","0.827","0.828","0.831","0.832","0.836","0.843","0.844","0.845","0.843","0.844","0.843","0.845"
"52"," Bulgaria","0.764","0.771","0.774","0.779","0.782","0.786","0.792","0.797","0.807","0.812","0.813","0.816"
"182"," Burkina Faso","0.344","0.357","0.366","0.375","0.385","0.394","0.401","0.405","0.413","0.420","0.429","0.434"
"185"," Burundi","0.363","0.375","0.391","0.402","0.410","0.416","0.422","0.429","0.427","0.427","0.421","0.423"
"126"," Cabo Verde","0.615","0.622","0.623","0.626","0.633","0.634","0.641","0.641","0.643","0.645","0.647","0.651"
"146"," Cambodia","0.516","0.521","0.524","0.535","0.542","0.548","0.555","0.561","0.566","0.572","0.578","0.581"
"150"," Cameroon","0.481","0.489","0.497","0.471","0.513","0.524","0.531","0.540","0.548","0.556","0.560","0.563"
"13"," Canada","0.891","0.893","0.893","0.895","0.899","0.906","0.910","0.914","0.917","0.920","0.921","0.922"
