Index,Country Code,Country Name,Year,IncomeGroup,Corruption Perception Index,Gni Growth (Annual %),"Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),Claims On Central Government (Annual Growth As % Of Broad Money),"Foreign Direct Investment, Net Inflows (% Of Gdp)",Import Value Index (2000 = 100),"Inflation, Consumer Prices (Annual %)",Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)",Broad Money Growth (Annual %),Import Volume Index (2000 = 100),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Bank Liquid Reserves To Bank Assets Ratio (%),Total Tax And Contribution Rate (% Of Profit),Exports Of Goods And Services (% Of Gdp),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),"Industry (Including Construction), Value Added (% Of Gdp)",Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports)
196,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
197,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
198,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
199,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
200,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
201,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
202,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
203,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
204,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
205,AFG,Afghanistan,2007,Low income,18,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.6974788,45.01165564,17.0167002,35.8,16.53043892,15.4733877,26.88224161,0.292741944,43.28841718,40.82001499
