Country Name,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
Country Code,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
2007,91.8736,83.074,184.1352,91.3265,,,86.9531,,82.0525,,92.3493,91.4932,94.6791,77.1405,68.2736,93.7029,89.8317,88.7483,80.5553,84.5612,92.1592,92.5256,91.6141,,,,82.8011,85.889,84.336,96.6087,82.6404,76.7994,,95.6926,,97.4322,,90.3839,92.1719,91.9883,90.9684,77.4309,90.8911,87.6994,91.1594,90.8478,77.3714,,,89.4672,,92.9694,91.7219,96.0747,84.5087,91.2768,93.2952,83.7907,86.7975,,,,,,84.7133,67.9664,,,94.6577,88.0644,39.8822,,,94.9684,86.8025,95.7135,,83.9078,91.8976,92.4357,83.4334,65.006,,67.2268,87.1669,89.7898,83.1677,90.5951,89.7659,,84.887,,86.6187,,93.1751,81.2684,,91.1417,82.4247,86.3002,,,,,82.6657,,,74.325,,101.5395,63.7863,80.7286,75.1693,90.0894,94.574,66.4125,84.3095,100.7166,77.9886,69.7547,69.622,77.4397,83.3641,92.2665,90.3174,82.7256,,87.5436,,73.8459,86.0278,91.904,,,,,74.2413,,,81.3558,,85.1832,94.2133,84.6132,88.5215,,94.5508,,82.544,76.8668,64.8075,,86.734,,,91.6134,88.4164,92.5542,72.1514,,88.2877,65.9894,,74.8461,85.7444,86.3618,78.9862,92.7842,,79.855,,88.61,70.0176,76.3231,95.2123,92.0822,74.9121,,92.0792,,83.2917,,64.7709,86.7549,90.4517,85.3942,86.7952,79.6522,90.1643,,,,96.9385,84.555,85.3609,,,,93.6326,82.7721,73.4603,76.8994,,82.2438,69.4407,94.1413,90.6677,78.7635,80.2235,91.6536,91.4554,,77.519,,,,,57.1541,81.6577,93.1925,92.2059,96.0454,79.0471,93.5216,56.7802,80.4087,,84.2075,,,87.4421,92.616,73.2756,,,85.3073,,86.2197,,,75.4769,89.4607,78.4926,,76.1404,75.946,63.0059,,81.1476,95.087,,89.8021,,,,69.695,88.9935,,83.6511,90.5559,71.7234,81.4018,72.2813,
2008,100.1018,105.0211,207.1075,94.3979,,,97.6052,,89.3961,,97.275,95.4735,97.724,93.2145,84.9372,97.9096,96.9709,98.2087,87.7263,95.0034,95.4087,96.6796,98.4183,,,,94.3988,90.7663,91.1741,98.6229,89.522,86.5546,,97.9608,,99.796,,98.262,97.6333,97.7914,95.8242,90.8275,95.3982,93.8371,92.7098,97.0023,87.7583,,,95.6192,,97.3101,97.5542,98.5999,94.6148,97.0819,96.4825,92.7099,91.0146,,,,,,91.8293,80.4157,,,98.5157,97.1899,57.5726,,,98.8297,93.5143,98.4057,,90.9759,96.7354,95.6908,91.7764,75.7463,,82.7331,91.0402,99.1819,88.6166,94.3573,96.977,,94.5266,,93.6366,,97.1784,90.5358,,96.6804,95.0207,91.5149,,,,,91.1196,,,80.5306,,105.6623,79.9948,90.9511,84.7116,94.227,97.7401,81.0435,96.0886,102.1065,91.3557,88.0582,86.6934,96.7975,94.7561,97.1569,94.5386,91.4802,,94.2221,95.0334,86.7611,94.9409,97.0042,,,,,90.9934,,,90.0736,,94.4903,97.4183,97.6456,96.1428,,98.0632,,93.0956,84.0127,72.6113,,91.1791,,,99.2465,96.5251,96.4957,91.4877,,96.0205,84.4372,,85.7009,92.0437,94.7668,85.868,97.8324,,87.1176,,98.6274,78.1264,91.4551,97.5798,95.5389,82.3343,,95.7246,,93.5993,,77.9104,94.3535,95.6851,92.4481,97.1807,88.2239,93.9196,,,,99.4477,93.1414,93.8031,,,,107.7245,89.2704,83.8262,88.7713,,90.3614,79.3753,101.058,96.677,92.4054,86.8056,97.8017,95.3817,,87.1398,,94.1314,,,75.4377,93.6346,97.4777,97.4131,99.3465,89.0525,93.1307,77.7688,93.0694,,92.8783,,,95.0451,97.6807,88.2755,,,93.0397,,95.227,,,84.557,93.3478,86.6905,,83.9664,85.0981,78.9,,87.5396,98.7375,,98.8418,61.3867,,,85.8053,93.3023,,93.3261,99.0233,85.3338,89.587,81.2771,
2009,97.9642,97.8679,235.544,96.5043,,,99.1297,,92.4416,,96.7398,97.1644,98.2188,94.5784,93.9027,97.8576,97.8399,100.7701,92.4841,97.6191,98.0759,98.6738,98.0429,,,,97.5579,95.203,94.4963,99.6444,93.4262,93.5026,,98.2541,,99.3165,,98.6089,96.9224,98.7884,98.7407,93.3707,99.61,97.7793,96.7541,97.9637,94.6408,,,97.2957,99.7246,97.6276,98.5486,98.9082,96.2,97.088,97.7413,94.0469,96.2361,,,,,,96.5676,89.8754,,,98.2319,97.1137,62.4569,,,98.8297,96.4422,98.492,,96.7926,98.5595,97.568,93.3618,90.3281,,86.6086,95.1931,97.544,92.7737,95.4992,96.6777,,96.2839,,96.401,,97.7386,95.512,,98.98,95.395,95.3693,,,,,95.1165,,,89.2942,,100.9307,90.8353,97.2028,94.8796,97.3637,98.4974,88.8024,95.3784,100.7252,98.0394,96.1896,92.6203,96.1573,104.0578,99.1563,97.1447,95.6971,,94.3552,96.1691,93.2054,97.2764,96.852,,,,,94.1463,,,96.6543,,98.698,97.7769,101.0965,97.267,,99.0162,,93.0372,91.5354,75.9007,,96.0092,,,98.5125,98.9032,98.507,92.8347,,99.3493,90.8709,,88.9478,94.0879,97.1512,93.0998,98.4031,,95.3517,,99.2023,87.9351,94.8271,98.7408,97.6382,91.4691,,97.7498,,96.8461,,88.5435,96.6265,98.4947,96.3485,98.5783,94.3275,97.4842,,,,98.6168,95.5556,96.3863,,,,102.4855,94.2583,93.5897,100.2594,,94.9312,88.3038,98.7862,97.2539,98.9595,93.2892,98.8344,97.4797,,94.2129,,98.8439,,,88.2301,93.5094,99.0521,98.2307,98.8553,95.6853,98.6791,102.4639,95.7878,,102.122,,,98.5747,96.8546,93.9677,,,93.6628,,96.5858,,,90.4575,96.7689,92.1095,,94.1618,96.1755,91.4303,,93.7218,98.3864,,99.2584,78.0107,,,91.5688,97.3116,,99.229,96.6366,89.9484,96.0951,92.1644,97.0549
2010,100,100,93.0484,100,,,100,,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,100,100,100,100,,100,,100,,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,,,,,,100,100,,,100,100,45.1018,,,100,100,100,,100,100,100,100,100,,100,100,100,100,100,100,,100,,100,,100,100,,100,100,100,,,,,100,,,100,,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,,100,100,100,100,100,,,,,100,,,100,,100,100,100,100,,100,,100,100,,,100,,,100,100,100,100,,100,100,,100,100,100,100,100,,100,100,100,100,100,100,100,100,,100,,100,,100,100,100,100,100,100,100,,,,100,100,100,,,,100,100,100,100,,100,100,100,100,100,100,100,100,,100,,100,,,100,100,100,100,100,100,100,100,100,,100,,,100,100,100,,,100,,100,,,100,100,100,,100,100,100,,100,100,,100,100,,,100,100,,100,100,100,100,100,100
2011,104.3163,111.8042,105.5936,103.4291,,,100.8773,,107.65,,103.4567,103.3039,103.2866,107.8524,109.5922,103.5321,102.7042,102.7598,111.3952,104.2199,99.5985,103.1988,103.6713,,,,109.8845,106.6364,109.4322,100.1379,108.849,108.4599,,102.9121,,100.2313,,103.3412,105.5539,104.9124,102.9397,115.3165,101.7596,103.4176,101.8427,104.4739,104.8781,,,102.3325,101.3254,103.2894,101.9172,102.0752,105.0687,101.1312,102.7587,108.4594,104.5242,,,,,,104.4745,110.0649,,,103.1961,104.9819,59.541,,,103.4168,107.2781,102.1116,,105.0826,101.2633,103.8561,108.5429,108.7268,,121.3505,104.7959,105.0461,104.8054,103.3299,103.0335,,106.2141,,104.9777,,105.2766,106.7623,,102.2727,106.3328,103.9299,,,,,105.356,,,108.8584,,102.5572,126.2934,105.8015,104.001,103.4674,102.7806,107.5297,104.1624,99.7324,105.1083,114.0225,116.6363,105.4786,101.4974,105.8352,104.0258,104.8394,,107.569,104.9715,108.4882,115.5185,102.7694,,,,,106.7168,,,105.0366,,104.1303,103.4107,104.3707,105.8045,,100.9069,,107.6873,109.4825,,,103.4074,,,103.9048,102.9556,102.963,105.0215,,103.4501,108.4112,,111.1666,105.6863,106.5225,107.6228,103.1745,,105.0056,102.429,102.9424,110.84,108.0824,102.3411,101.285,109.2271,,104.0279,,104.0422,,111.9161,105.8758,103.3693,104.7184,104.6747,104.4408,104.2394,,,,103.653,108.254,102.8772,,,,101.1384,105.7893,108.4405,103.0966,,105.8262,118.0966,103.4032,105.2478,107.3427,106.7882,105.1289,102.8998,,111.1374,,147.3053,,,114.3272,117.7118,103.9193,101.8029,102.9612,106.1074,104.5848,102.5593,104.7532,,102.0292,,,103.5635,103.8088,112.4315,,,113.4998,,106.2708,,,105.1071,103.24,106.4719,,112.691,115.1252,107.9557,,108.0928,103.1568,,103.186,126.0902,,,118.6777,100.8738,,105.2354,107.3364,119.5436,105.0172,106.4294,103.4778
2012,104.9709,119.0057,116.4464,105.5304,,,101.5454,,110.4037,,106.9504,105.1249,105.8539,109.0044,129.4952,106.472,109.6313,106.6833,118.3212,107.2992,102.3457,105.2353,105.7993,,,,114.8464,112.3985,114.3931,100.2498,120.7349,116.6344,,104.472,,99.5372,,106.4492,108.3189,106.281,105.7554,126.5274,106.8579,106.6932,108.2738,107.1279,109.5928,,,105.5908,102.5301,105.7571,105.2679,104.1253,108.989,102.5034,105.2227,112.4664,113.8179,,,,,,109.8045,117.8924,,,105.7203,109.1113,73.4608,,,106.3211,110.9507,104.1071,,110.3562,103.9492,106.5286,107.5187,116.4751,,139.8262,109.2542,107.2842,108.6377,104.8814,105.5174,,110.2309,,107.4887,,109.5549,112.3098,,105.7623,111.6686,109.8042,,,,,109.8648,,,118.9957,,104.2968,160.7169,112.2438,109.3944,105.21,105.9066,114.9474,108.8656,99.6806,110.4667,124.7153,119.8653,108.572,98.4059,106.6989,106.3011,108.2521,,112.1462,111.8802,115.8998,122.5187,107.0627,,,,,114.7663,,,111.3929,,107.3479,106.1643,106.7272,112.2673,,102.2057,,112.5831,115.7382,,,107.659,,,107.3503,108.4361,105.4092,106.5627,,107.7384,123.9469,,114.0597,110.8675,110.6259,130.5156,104.8909,,112.0641,104.2212,103.4109,124.3822,115.8573,104.8541,101.9908,119.5597,,105.1305,,107.1091,,122.7522,111.9088,107.1482,107.8882,108.4578,109.1795,107.9507,,,,106.5277,112.2333,105.7363,,,,103.4801,109.3172,113.9435,113.6877,,108.8595,160.0907,104.8697,110.0635,113.6888,113.8238,106.9474,105.8091,,119.2842,,213.7079,,,126.4892,123.6054,107.6667,104.4471,103.8758,115.593,108.784,109.8516,143.2,,109.6984,,,106.2325,106.9385,118.9876,,,126.8932,,107.4903,,,114.8403,108.0013,115.9389,,130.7228,129.7216,108.5697,,116.8459,105.2915,,105.8673,152.6562,,,129.4711,102.233,,107.3917,109.9949,131.3609,111.0283,113.4281,107.3283
2013,102.4809,127.7952,126.6678,107.5752,,,102.6636,,116.7957,,108.0835,107.7003,107.9712,111.641,139.7745,107.6572,110.1015,107.2527,127.2312,108.2542,105.7242,106.3241,105.7008,,,,121.4345,119.3721,116.4684,100.64,129.1944,123.4979,,105.4522,,99.3209,,108.3541,111.158,109.0243,107.9238,127.55,111.8072,108.8463,103.6235,108.7419,115.3259,,,106.9976,104.7454,105.3347,106.7819,105.6921,111.9383,102.4558,106.053,117.8996,117.5218,,,,,,112.7932,129.0565,,,107.2094,112.1452,78.944,,,107.8928,114.1832,105.0062,,112.29,104.4746,108.9699,106.9681,130.0633,,156.4486,115.4808,108.5792,111.8413,103.9142,105.471,,115.0187,,109.5324,,114.2915,118.1072,,108.1067,116.9897,111.7073,,,,,116.9099,,,131.9754,,104.8273,219.5442,114.3534,113.6305,106.8633,107.1986,125.6885,114.118,100.0259,116.925,131.8458,127.7929,111.7668,96.9416,107.88,107.6845,111.1557,,119.2915,117.2739,124.6819,125.7113,108.6387,,,,,122.6949,,,116.8123,,108.4723,108.0053,106.6958,118.4497,,104.1279,,117.7595,122.4816,,,111.7569,,,110.34,107.7782,106.6533,112.5761,,110.115,136.9497,,118.9202,115.4453,114.5457,166.1246,107.0988,,118.3407,105.5527,105.7865,134.9246,124.1243,107.4827,104.1535,130.3681,,106.3231,,108.2289,,132.1945,116.4156,110.1555,110.6746,112.0964,114.5952,109.0216,,,,106.82,115.2455,107.5596,,,,106.8142,113.6732,121.639,120.4357,,112.705,218.5595,105.6146,112.6595,119.8182,120.1049,107.7577,107.5067,,128.4622,,213.6238,,,136.7422,125.9829,109.1746,106.295,103.8298,122.0904,111.5348,114.618,,,109.9427,,,108.1717,109.275,124.9485,,,140.9592,,108.324,,,120.8118,113.7429,124.6263,,141.0116,136.0814,108.3103,,126.8656,106.8338,,106.7196,214.6947,,,138.0067,103.7245,,108.0469,111.9388,145.7692,117.4417,121.3427,109.0795
2014,102.9128,133.7684,135.8897,109.3242,,,105.0723,,120.2778,,109.261,110.3798,109.705,113.1925,145.9321,108.0232,109.4973,106.9759,136.1268,106.719,108.5219,157.1215,104.7525,,,,128.4371,126.9272,118.5293,100.4316,139.8802,128.9346,,107.4628,,99.3077,,113.467,113.2941,109.5135,109.9256,129.1355,112.827,112.0005,,108.4822,120.5379,,,108.6012,106.0799,103.9075,107.1493,106.6506,113.4404,103.2747,106.6512,121.435,120.9499,,,,,,116.8416,142.0528,,,107.0477,112.0261,84.3832,,,109.0162,114.7762,105.5394,,113.0202,109.375,110.5511,110.2508,150.2096,,167.511,122.3496,106.9405,116.6617,102.5517,104.4335,,118.9504,,110.4663,,119.3644,125.3462,,107.874,121.012,111.4531,,,,,124.3862,,,140.36,,105.0187,256.0029,116.9103,115.9538,107.3816,107.457,136.1081,117.4268,102.7886,124.7667,140.9144,137.4212,116.0757,98.9812,108.1474,109.0572,114.3892,,124.2173,119.4489,136.977,,112.4612,,,,,126.5954,,,123.0854,,108.5849,108.6841,107.3578,125.6103,,104.5884,,123.752,129.929,,,116.248,,,110.0292,108.7307,106.9843,118.1523,,109.3326,153.7315,,121.9642,119.5256,118.2314,205.649,110.4649,,124.6714,105.7415,104.8023,145.8029,131.6164,108.5318,106.28,141.2723,,107.6283,,109.3354,,141.6985,119.4733,113.73,114.6565,116.7952,120.5795,109.0802,,,,106.5229,121.041,109.4236,,,,110.3922,114.8876,131.1553,123.2399,,115.2254,299.2225,104.4631,113.8144,126.0079,125.6843,108.9876,108.7032,,131.1374,,217.1597,,,146.3121,130.2454,109.0914,106.5069,103.6433,129.0254,113.6392,116.2064,,,111.7919,,,108.3782,111.3459,132.5759,,,141.9829,,111.0439,,,127.6793,119.0041,135.6614,,149.6579,140.2655,121.3853,,138.1279,108.5669,,106.9265,348.1676,,,143.6437,104.5531,,107.6073,112.419,157.5833,124.648,130.8158,108.8472
2015,103.4014,132.8832,106.6304,111.3972,,,109.3487,,124.7662,,110.3197,112.0447,110.6886,117.7309,154.0236,108.6297,109.7369,107.7513,144.5589,106.6073,110.5182,109.603,103.6672,,,,133.6511,138.3886,117.2103,99.9411,146.2421,132.8826,,108.672,,98.1718,,118.4014,114.9221,110.8841,112.8675,130.0965,116.4026,117.5896,,108.6245,121.5045,,,108.0837,103.5896,101.7285,107.4807,107.1992,112.4791,102.4032,107.1333,122.4511,126.7366,,,,,,121.4763,156.7844,,,106.512,111.4746,92.4578,,,108.7895,116.3542,105.579,,112.6832,109.0044,110.958,114.6647,175.9705,,185.6387,130.6797,,118.6177,100.7713,103.8952,,121.7918,,109.3597,,122.9398,129.3045,,107.3729,129.1583,111.3844,,,,,132.301,,,148.6026,,104.7143,287.9641,118.5393,117.8474,106.7024,107.4987,141.1113,116.3971,103.6001,133.0833,150.1896,146.3581,117.4933,99.5474,105.658,109.8273,118.1316,,125.804,114.9706,147.5909,,111.3542,,,,,131.3659,,,127.0468,,107.6249,109.2001,107.5449,131.3371,,106.2178,,135.7266,139.5492,96.4038,,119.4107,,,109.6992,110.3081,108.1617,129.3227,,111.0258,162.5356,,126.2949,123.3955,119.7525,250.619,112.7895,,128.9048,106.3448,104.1986,158.9389,136.8776,109.1832,108.5875,152.3889,,107.9433,,109.4068,,145.2825,119.6375,117.7667,115.4295,117.9036,127.8094,108.1267,,,,107.0426,124.8283,110.9901,,,,112.3948,114.205,151.5295,126.3567,,116.6151,349.8194,104.6043,113.2196,125.284,134.0972,108.1905,108.8616,,132.9633,,331.8519,,,153.9938,139.2244,108.7366,105.9471,103.5948,135.4152,114.0142,120.9034,,,116.6851,,,111.1798,110.3433,140.152,,,142.7678,,109.8735,,,133.6307,124.2848,146.0678,,158.021,147.8539,180.4998,,150.0985,108.6957,,105.0728,772.0201,,,144.5504,107.1494,,108.3869,111.8154,,130.2686,144.0421,106.2245
