,Index,Country Code,Year,Country Name,Corruption Perception Index,IncomeGroup,region_USAID,region_WorldBank,Rural Population,"Access To Electricity, Rural (% Of Rural Population)",Food Production Index (2004-2006 = 100),Agricultural Land (% Of Land Area),Urban Population (% Of Total Population),Population Growth (Annual %),"Mortality Rate, Under-5 (Per 1,000 Live Births)","Foreign Direct Investment, Net Inflows (% Of Gdp)",Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Net Primary Income (Net Income From Abroad) (Current Us$),Gross Savings (% Of Gdp),Gni Growth (Annual %),Gross Domestic Savings (% Of Gdp),"Industry (Including Construction), Value Added (% Of Gdp)",Imports Of Goods And Services (% Of Gdp),Exports Of Goods And Services (% Of Gdp),General Government Final Consumption Expenditure (% Of Gdp),"Inflation, Consumer Prices (Annual %)","Inflation, Gdp Deflator: Linked Series (Annual %)",Public Credit Registry Coverage (% Of Adults),Private Credit Bureau Coverage (% Of Adults),Domestic Credit To Private Sector (% Of Gdp),Lending Interest Rate (%),Deposit Interest Rate (%),Broad Money Growth (Annual %),Broad Money (% Of Gdp),Claims On Private Sector (Annual Growth As % Of Broad Money),Claims On Central Government (Annual Growth As % Of Broad Money),Total Reserves (% Of Total External Debt),Bank Liquid Reserves To Bank Assets Ratio (%),"Foreign Direct Investment, Net Outflows (% Of Gdp)","Adolescent Fertility Rate (Births Per 1,000 Women Ages 15-19)",Prevalence Of Undernourishment (% Of Population),Refugee Population By Country Or Territory Of Origin,Domestic Private Health Expenditure (% Of Current Health Expenditure),Domestic General Government Health Expenditure (% Of Gdp),Lifetime Risk Of Maternal Death (%),"Mortality Rate, Neonatal (Per 1,000 Live Births)",Export Value Index (2000 = 100),Import Value Index (2000 = 100),Trade In Services (% Of Gdp),Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To High-Income Economies (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Merchandise Imports From Low- And Middle-Income Economies Within Region (% Of Total Merchandise Imports),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),Net Barter Terms Of Trade Index (2000 = 100),Merchandise Trade (% Of Gdp),Total Tax And Contribution Rate (% Of Profit),"Intentional Homicides (Per 100,000 People)",Military Expenditure (% Of General Government Expenditure),Military Expenditure (% Of Gdp),Population Ages 0-14 (% Of Total Population),Access To Clean Fuels And Technologies For Cooking (% Of Population),"People Using At Least Basic Drinking Water Services, Rural (% Of Rural Population)","People Using At Least Basic Sanitation Services, Rural (% Of Rural Population)","Labor Force Participation Rate, Total (% Of Total Population Ages 15-64) (Modeled Ilo Estimate)","Unemployment, Total (% Of Total Labor Force) (Modeled Ilo Estimate)",Gdp Per Person Employed (Constant 2017 Ppp $),"Wage And Salaried Workers, Total (% Of Total Employment) (Modeled Ilo Estimate)",Import Volume Index (2000 = 100),Trade (% Of Gdp)
0,140,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
1,141,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
2,142,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
3,143,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
4,144,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
5,145,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
6,146,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
7,147,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
8,148,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
9,149,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
10,150,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,19829986.0,8.020723615,106.32,58.06757957,22.703000000000003,3.6827317969999998,107.9,4.364535244,0.23657778100000001,296885872.1495613,7.721032588215999,,-33.76417609,26.81209923,59.814755727799934,20.020770835724058,10.67031925,12.68626872,10.91277354,0.0,0.0,4.949847578765993,,,19.930688246060008,23.835506889559916,9.04785266114798,2.222539822407999,207.5316194682003,19.68036102555999,0.024157944,138.4284,33.2,2166139.0,78.97008514,0.529184099,7.810410805,54.3,279.6550921,210.11552039999998,14.267438286027984,37.15888863,17.51876401,45.32223186,25.49362512,45.587370299999996,12.21424933,118.1645932,45.98062038,35.8,,12.68975795,1.992068021,47.85964149,13.49,29.54213063,25.57664987,49.82400131,11.4289999,6148.205597,8.57199955,177.9422841,79.5071504200401
