Exports??and??imports??(%??of??GDP) rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170, Afghanistan,81.3,88.8,81.6,74.7,67.2,55.1,47.7,51.2,0
69, Albania,76.5,81.2,76.5,75.9,75.4,71.8,74.8,78.2,77.3
82, Algeria,69.9,67.5,65.4,63.6,62.1,59.7,55.9,56.1,0
149, Angola,104.1,100,91.8,86.8,79.3,62.9,53.4,52.3,0
74, Antigua and Barbuda,104.4,103.2,102.8,106.2,104.5,93.6,88.5,0,0
48, Argentina,35,35.2,30.5,29.3,28.4,22.5,26.1,25.2,30.8
81, Armenia,66.1,71.1,76,76.6,75.6,71.6,75.9,86.8,90.4
6, Australia,40.6,41.9,43.2,41.2,42.5,41.5,40.7,41.7,43
20, Austria,99,105.1,105.2,104.1,103.5,102.4,101,104.4,105.5
87, Azerbaijan,75,80.5,78.3,74.7,69.5,72.6,90.1,90.4,92
60, Bahamas,78.7,88.3,84.3,85.5,87.7,73.7,73.5,75.5,0
45, Bahrain,120.5,174.2,185.9,191.9,175.6,154.1,139.1,142.8,159.2
135, Bangladesh,37.8,47.4,48.1,46.3,44.5,42.1,38,35.3,38.2
56, Barbados,86.9,86.5,86.4,93.5,91.5,79,82.6,82.8,0
50, Belarus,113.1,158,153.1,119.8,110.7,115.9,125.2,133.4,139.3
17, Belgium,151.1,162.8,164,162.2,164.7,160.1,164.1,170.4,175.6
103, Belize,116.1,124.7,124.9,129.6,125.3,122.3,112.2,111.8,0
163, Benin,56.6,50.7,54.8,63.9,74.2,58.8,61.1,67.6,79.6
134, Bhutan,113.2,111.7,101.8,102.7,92.8,96.4,77.7,78.6,0
114, Bolivia (Plurinational State of),75.5,82.5,84.9,81.2,85.3,67.9,56.4,56.7,57.1
75, Bosnia and Herzegovina,81,87.8,88.1,87.9,90.6,88.2,87.9,96.5,98.2
94, Botswana,94.9,103.5,110.7,122.9,114.7,107.5,92.9,73.9,76.6
79, Brazil,22.8,23.9,25.1,25.8,24.7,27,24.5,24.1,29.1
43, Brunei Darussalam,95.4,99.5,105.6,110.9,99.4,84.9,87.3,85.2,93.9
52, Bulgaria,103.2,117.8,124.8,130.2,130.8,128.1,123.6,131.1,128.1
182, Burkina Faso,48.9,58.2,62.7,50.1,46.6,47.9,51.9,52.3,63.6
185, Burundi,39.5,43,43.7,46.6,43,22.9,23.1,0,0
126, Cabo Verde,94.4,99.8,100.3,95.3,101,104.1,104.2,113.1,116.6
146, Cambodia,113.6,113.6,120.6,130,129.6,127.9,127,124.8,124.9
150, Cameroon,49.1,56.9,56.4,55.6,55.1,49.9,43.2,41.2,39.3
13, Canada,60.1,62.4,62.5,62.1,64.1,65.8,64.9,64.5,65.9
188, Central African Republic,34.4,34.5,33.1,38.2,42.1,52.7,48.7,46.1,0
187, Chad,80.4,80.7,80.6,72.6,76.6,66.6,63.3,73.6,73.7
42, Chile,69.1,72.2,68.3,65,65.3,59,55.7,55.7,57.5
85, China,49,50.7,48.3,46.7,45.1,39.6,37.2,38.1,38.2
79, Colombia,34.3,39.5,38.9,38,37.5,38.4,36.2,35.3,36.8
156, Comoros,39.5,40,40.8,39.2,39.2,36.9,36.9,40.1,0
138, Congo,139.8,145.1,144.1,142.6,143.2,165.6,152.1,159.2,154.9
179, Congo (Democratic Republic of the),90.7,85.2,68.4,77.5,78.7,59.3,55.9,74.3,71
68, Costa Rica,68.2,69.5,68.1,65.6,67,62.5,63.9,66,66.8
46, Croatia,75.6,81.1,82.6,85,88.6,93.9,94.7,99.9,101.1
72, Cuba,40.3,47,45.9,44.3,39.3,31.6,27.3,26.2,0
31, Cyprus,107.7,108.7,108.1,115.9,122.3,128.8,129.7,133,130.3
26, Czechia,129,138.8,147.5,148,158.7,156.1,151.4,151.9,151.5
165, C??te d'Ivoire,94,91.2,93.7,80.1,73.6,72,63.7,64.8,59
11, Denmark,94.1,101.2,103.2,103,102.3,104,100.5,102,104
171, Djibouti,0,0,0,92,92.9,107.5,84.6,108.5,116.9
98, Dominica,88.1,90.4,83.7,82.9,81.2,88.6,91.7,113,118.2
89, Dominican Republic,56,59,58.4,56.7,56.2,53.9,53.8,52.9,55
85, Ecuador,60.3,64.5,61.8,59.6,57.7,45.2,38.5,42.4,45.9
