Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Afghanistan,AFG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Angola,AGO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,80.09992442,88.67602898,100,111.8899144,117.8407805,127.7201994,136.2964228,148.7958474,179.1393913,220.3805932,,
Albania,ALB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Andorra,AND,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Arab World,ARB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
United Arab Emirates,ARE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Argentina,ARG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Armenia,ARM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
American Samoa,ASM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Australia,AUS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Austria,AUT,Wholesale price index (2010 = 100),FP.WPI.TOTL,96.04899017,102.2309876,94.66607706,100,108.3159759,110.8907596,109.6741951,107.5410407,103.7668643,101.3456375,106.0583825,110.5030632,
Azerbaijan,AZE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Burundi,BDI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Belgium,BEL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Benin,BEN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Burkina Faso,BFA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Bangladesh,BGD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Bulgaria,BGR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Bahrain,BHR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
