,Variable,Coefficient,odds
94,Ghana,0.449833517,1.568051109
84,Bulgaria,0.403450799,1.496981578
89,Ecuador,0.395948984,1.485793516
102,Jordan,0.363204989,1.43793059
112,Mexico,0.359553696,1.432689857
105,Kosovo,0.308132722,1.360881595
128,Thailand,0.296536746,1.34519199
93,Georgia,0.293328025,1.340882561
81,Bangladesh,0.250768009,1.285011938
95,Guatemala,0.25059496,1.284789587
117,Nepal,0.247705203,1.281082217
121,Panama,0.241820475,1.273565536
88,Dominican Republic,0.224845244,1.252128927
126,Serbia,0.221979834,1.248546199
83,Bosnia and Herzegovina,0.221595539,1.248066481
86,Cambodia,0.218083906,1.243691416
118,Nicaragua,0.212271917,1.23648406
80,Armenia,0.21215389,1.236338131
101,Jamaica,0.207170849,1.230192731
87,Colombia,0.195813321,1.216299826
96,Guinea,0.19489869,1.21518787
113,Moldova,0.194550965,1.214765392
79,Albania,0.168911606,1.184015475
130,Ukraine,0.156953613,1.169941343
127,Sri Lanka,0.152363476,1.164583458
125,Rwanda,0.148939714,1.160603019
99,Honduras,0.131249415,1.140252142
132,West Bank and Gaza,0.109419896,1.1156307
109,Madagascar,0.093994506,1.09855371
124,Philippines,0.086387339,1.090228535
135,High Corruption,0,1
136,Same,0,1
100,Indonesia,-0.009941952,0.990107306
90,Egypt,-0.1428677,0.866868748
119,Nigeria,-0.150878123,0.859952501
104,Kenya,-0.165327869,0.847615751
133,Yemen,-0.184971067,0.831128331
85,Burundi,-0.197870415,0.820476168
120,Pakistan,-0.200264663,0.818514094
122,Paraguay,-0.209147587,0.811275493
129,Uganda,-0.216177214,0.805592527
114,Montenegro,-0.233389424,0.79184515
115,Morocco,-0.249415489,0.779256134
107,Lebanon,-0.256488985,0.773763518
98,Haiti,-0.267496961,0.765292656
92,Ethiopia,-0.269156407,0.764023748
82,Bolivia,-0.274993948,0.75957672
110,Malawi,-0.293305559,0.745794222
97,Guyana,-0.304291572,0.737645759
131,Vietnam,-0.306948096,0.735688785
111,Mali,-0.316015225,0.729048351
116,Mozambique,-0.316787469,0.728485564
134,Zambia,-0.325724578,0.722004016
103,Kazakhstan,-0.326345025,0.721556189
91,El Salvador,-0.394295938,0.674154519
106,Kyrgyzstan,-0.422051682,0.65570015
123,Peru,-0.458820831,0.632028475
108,Macedonia,-0.519488065,0.594824982
