,Variable,Coefficient
84,Afghanistan,-0.10905743623267641
85,Albania,0.184319977693058
86,Angola,-0.29424632391681055
87,Armenia,0.2773307554359433
88,Azerbaijan,-0.21381839788937845
89,Bangladesh,0.227311801262527
90,Bolivia,-0.2641144517015777
91,Bosnia and Herzegovina,0.19697739955026636
92,Bulgaria,0.42847507873750396
93,Burundi,-0.2128233600749715
94,Cambodia,0.25256288423449996
95,Colombia,0.17991385764667658
96,Democratic Republic of Congo,0.08934607104500368
97,Djibouti,-0.35183714430473867
98,Dominican Republic,0.23979119950449754
99,East Timor,-0.3488014479736676
100,Ecuador,0.42209979895837163
101,Egypt,-0.1955221051054652
102,El Salvador,-0.3609652063274319
103,Ethiopia,-0.265284500461434
104,Georgia,0.27213987468187234
105,Ghana,0.4755955558298792
106,Guatemala,0.27163528069383197
107,Guinea,0.21491431179395223
108,Guyana,-0.2662353823346086
109,Haiti,-0.2557257861108059
110,Honduras,0.1398774100754473
111,Indonesia,0.053727360133045715
112,Iraq,0.23360999765155924
113,Jamaica,0.24617571182156514
114,Jordan,0.33684446599136675
115,Kazakhstan,-0.35620267669350336
116,Kenya,-0.17007915360104633
117,Kosovo,0.2789181379860369
118,Kyrgyzstan,-0.39145196324699044
119,Lebanon,-0.2777390961079062
120,Liberia,-0.2215925303705219
121,Macedonia,-0.4913411773579703
122,Madagascar,0.23305064686981355
123,Malawi,-0.3313551447022437
124,Mali,-0.265038850015751
125,Mexico,0.3467026320727382
126,Moldova,0.19692603371710524
127,Mongolia,0.13007904042406138
128,Montenegro,-0.2872678146109852
129,Morocco,-0.21375427918889164
130,Mozambique,-0.24052986933298812
131,Nepal,0.2519535445507768
132,Nicaragua,0.24477604377688403
133,Nigeria,-0.12403077950133225
134,Pakistan,-0.3663124547456752
135,Panama,0.2666143700435479
136,Paraguay,-0.22388060742761906
137,Peru,-0.41935213201555577
138,Philippines,0.17150013765928446
139,Rwanda,0.1853476377473303
140,Serbia,0.26221217209711317
141,Sierra Leone,-0.1134332711677538
142,Sri Lanka,0.17631474210026377
143,Thailand,0.31053133901131535
144,Turkmenistan,0.3800366969274361
145,Uganda,-0.16202817360868962
146,Ukraine,0.15239638047492868
147,Vietnam,-0.2519140128672137
148,West Bank and Gaza,0.19039998095849542
149,Yemen,-0.18903613567805794
150,Zambia,-0.2856366644837333
