,Variable,Coefficient,Odds
1,desc_senti_score_mean,-0.690986103,0.501081707
2,Local_Government_count,-0.498495646,0.607443783
3,Agriculture_and_Food_Security_count,-0.343206916,0.709491391
4,Economic_Growth_count,-0.326616061,0.721360649
5,Environment_count,-0.278893348,0.756620594
6,Public_Finance_count,-0.252197516,0.777091235
7,intervention_type_Citizen_Media_Business_Engagement_Participation_count,-0.23019233,0.794380804
8,Rule_of_Law_countLegislature_countEconomic_Growth_countCivil_Society_countPublic_Finance_count,-0.159204263,0.852822141
9,dominant_topic_1_count,-0.073776881,0.928878921
10,Rule_of_Law_countGovernance_count,-0.057095254,0.944504097
11,Civil_Society_countGovernance_countHealthcare_count,-0.047781375,0.953342189
12,Local_Government_countEconomic_Growth_count,-0.043323699,0.957601365
13,duration_mean,0,1
14,topic0_mean,0,1
15,topic1_mean,0,1
16,topic3_mean,0,1
17,topic4_mean,0,1
18,dominant_topic_4_count,0,1
19,dominant_topic_3_count,0,1
20,dominant_topic_2_count,0,1
21,dominant_topic_0_count,0,1
22,Independent_Agencies_count,0,1
23,Rule_of_Law_count,0,1
24,Elections_and_Political_Processes_count,0,1
25,Local_Government_count,0,1
26,Legislature_count,0,1
27,Economic_Governance_count,0,1
28,Disaster_Recovery_count,0,1
29,Economic_Growth_count,0,1
30,Civil_Society_count,0,1
31,Governance_count,0,1
32,Healthcare_count,0,1
33,Public_Finance_count,0,1
34,Private_Sector_count,0,1
35,Democracy_and_Governance_count,0,1
36,Gender_Equality_count,0,1
37,Natural_Resource_count,0,1
38,Education_count,0,1
39,desc_sub_score_mean,0,1
40,res_senti_score_mean,0,1
41,res_sub_score_mean,0,1
42,intervention_type_Awareness_count,0,1
43,intervention_type_Transparency_count,0,1
44,intervention_type_Assessment_count,0,1
45,intervention_type_Accountability_count,0,1
46,intervention_type_Participation_count,0,1
47,intervention_type_Study_count,0,1
48,awd_value_sum,0,1
49,awd_value_mean,0,1
50,awd_value_median,0,1
51,awd_amount_very_low,0,1
52,awd_amount_low,0,1
53,awd_amount_median_low,0,1
54,awd_amount_median_high,0,1
55,awd_amount_high,0,1
56,awd_amount_very_high,0,1
57,stability_initial,0,1
58,numberofprojects,0,1
59,change_corruption,0,1
60,dominant_topic_3_count,0,1
61,dominant_topic_4_count,0,1
62,dominant_topic_4_countdominant_topic_3_count,0,1
63,dominant_topic_4_countdominant_topic_3_countdominant_topic_2_count,0,1
64,Agriculture_and_Food_Security_countGovernance_countPublic_Finance_countDemocracy_and_Governance_count,0,1
65,Agriculture_and_Food_Security_countNatural_Resource_count,0,1
66,Governance_count,0,1
67,Healthcare_count,0,1
68,Independent_Agencies_count,0,1
69,Independent_Agencies_countRule_of_Law_countLocal_Government_countEconomic_Growth_countMedia_countCivil_Society_countGovernance_countPrivate_Sector_count,0,1
70,Rule_of_Law_count,0,1
71,Rule_of_Law_countLocal_Government_count,0,1
72,Rule_of_Law_countPublic_Finance_count,0,1
73,Rule_of_Law_countLocal_Government_countCivil_Society_count,0.051809368,1.053174955
74,Rule_of_Law_countEconomic_Growth_count,0.10674836,1.112654231
75,dominant_topic_2_count,0.122078982,1.129843336
76,Local_Government_countMedia_countGovernance_count,0.145987067,1.157181223
77,Media_count,0.176048916,1.19249639
78,change_stability,0.195307963,1.215685315
79,Civil_Society_count,0.227719137,1.255732587
80,Rule_of_Law_countLocal_Government_countGovernance_count,0.32556854,1.384817747
81,intervention_type_Enforcement_count,0.623009852,1.86453157
82,topic2_mean,0.655474461,1.926056138
83,corruption_initial,0.828702804,2.290345786
84,awd_amount_median,1.299938852,3.669072304
