,Variable,Coefficient,Odds
1,Local_Government_count,-1.182554182,0.306494894
2,Governance_count,-0.836139141,0.433380519
3,awd_amount_very_high,-0.83508781,0.433836384
4,Public_Finance_count,-0.73003216,0.481893492
5,res_senti_score_mean,-0.496643716,0.608569769
6,intervention_type_Citizen_Media_Business_Engagement_Participation_count,-0.319352298,0.726619517
7,awd_amount_median_high,-0.274205595,0.760175771
8,dominant_topic_1_count,-0.228162096,0.795995222
9,Local_Government_countEconomic_Growth_count,-0.183911862,0.832009132
10,desc_senti_score_mean,-0.176704361,0.838027502
11,Rule_of_Law_countGovernance_count,-0.152243679,0.858778989
12,Agriculture_and_Food_Security_countGovernance_countPublic_Finance_countDemocracy_and_Governance_count,-0.095724323,0.908714493
13,Civil_Society_countGovernance_countHealthcare_count,-0.074116262,0.928563731
14,Public_Finance_count,-0.051777893,0.949539743
15,Agriculture_and_Food_Security_count,-0.04863865,0.952525262
16,duration_mean,0,1
17,topic0_mean,0,1
18,topic1_mean,0,1
19,topic3_mean,0,1
20,topic4_mean,0,1
21,dominant_topic_4_count,0,1
22,dominant_topic_3_count,0,1
23,dominant_topic_2_count,0,1
24,dominant_topic_0_count,0,1
25,Independent_Agencies_count,0,1
26,Rule_of_Law_count,0,1
27,Elections_and_Political_Processes_count,0,1
28,Local_Government_count,0,1
29,Legislature_count,0,1
30,Economic_Governance_count,0,1
31,Disaster_Recovery_count,0,1
32,Economic_Growth_count,0,1
33,Civil_Society_count,0,1
34,Governance_count,0,1
35,Healthcare_count,0,1
36,Environment_count,0,1
37,Private_Sector_count,0,1
38,Democracy_and_Governance_count,0,1
39,Gender_Equality_count,0,1
40,Natural_Resource_count,0,1
41,Education_count,0,1
42,desc_sub_score_mean,0,1
43,res_sub_score_mean,0,1
44,intervention_type_Awareness_count,0,1
45,intervention_type_Transparency_count,0,1
46,intervention_type_Assessment_count,0,1
47,intervention_type_Accountability_count,0,1
48,intervention_type_Participation_count,0,1
49,intervention_type_Enforcement_count,0,1
50,intervention_type_Study_count,0,1
51,awd_value_sum,0,1
52,awd_value_mean,0,1
53,awd_value_median,0,1
54,awd_amount_very_low,0,1
55,awd_amount_low,0,1
56,awd_amount_median_low,0,1
57,awd_amount_high,0,1
58,stability_initial,0,1
59,numberofprojects,0,1
60,change_stability,0,1
61,dominant_topic_2_count,0,1
62,dominant_topic_3_count,0,1
63,dominant_topic_4_count,0,1
64,dominant_topic_4_countdominant_topic_3_count,0,1
65,dominant_topic_4_countdominant_topic_3_countdominant_topic_2_count,0,1
66,Economic_Growth_count,0,1
67,Healthcare_count,0,1
68,Independent_Agencies_count,0,1
69,Local_Government_countMedia_countGovernance_count,0,1
70,Rule_of_Law_count,0,1
71,Rule_of_Law_countEconomic_Growth_count,0,1
72,Rule_of_Law_countLocal_Government_count,0,1
73,Rule_of_Law_countLocal_Government_countCivil_Society_count,0.019442129,1.019632358
74,Rule_of_Law_countLocal_Government_countGovernance_count,0.064787066,1.066931814
75,Civil_Society_count,0.070589894,1.073141035
76,Media_count,0.103505043,1.109051387
77,topic2_mean,0.162256894,1.176162351
78,awd_amount_median,0.553226932,1.738855141
