,Variable,Coefficient,Odds
0,awd_amount_median,0.411549917,1.509155038
1,Rule_of_Law_countLocal_Government_countGovernance_count,0.272616814,1.313396873
2,Civil_Society_count,0.267753709,1.307025192
3,Media_count,0.260212579,1.297205817
4,Rule_of_Law_countLocal_Government_countCivil_Society_count,0.247705203,1.281082217
5,Independent_Agencies_count,0.227936325,1.256005347
6,dominant_topic_2_count,0.19489869,1.21518787
7,Rule_of_Law_countEconomic_Growth_count,0.194550965,1.214765392
8,topic2_mean,0.193206838,1.213133689
9,change_stability,0.157676473,1.170787352
10,Education_count,0.156953613,1.169941343
11,Local_Government_countMedia_countGovernance_count,0.152363476,1.164583458
12,Rule_of_Law_count,0.151437938,1.16350609
13,Healthcare_count,0.148939714,1.160603019
14,Rule_of_Law_countLocal_Government_count,0.147310857,1.158714101
15,intervention_type_Enforcement_count,0.144065259,1.154959477
16,intervention_type_Transparency_count,0.141613218,1.152130939
17,Rule_of_Law_count,0.140708799,1.1510894
18,dominant_topic_4_countdominant_topic_3_countdominant_topic_2_count,0.131249415,1.140252142
19,Legislature_count,0.115572586,1.122515991
20,desc_sub_score_mean,0.115125132,1.122013829
21,Independent_Agencies_count,0.112401642,1.118962193
22,Economic_Governance_count,0.109419896,1.1156307
23,Healthcare_count,0.107573029,1.113572181
24,awd_amount_very_low,0.096268527,1.101054687
25,awd_amount_high,0.094108889,1.098679374
26,intervention_type_Accountability_count,0.090191249,1.094383563
27,dominant_topic_3_count,0.08772818,1.091691338
28,topic0_mean,0.086657375,1.090522975
29,Elections_and_Political_Processes_count,0.086387339,1.090228535
30,numberofprojects,0.077938011,1.081055643
31,duration_mean,0.07785949,1.08097076
32,dominant_topic_4_countdominant_topic_3_count,0.05392345,1.055403808
33,dominant_topic_4_count,0.053335817,1.0547838
34,dominant_topic_2_count,0.045129735,1.046163575
35,intervention_type_Awareness_count,0.017787796,1.017946941
36,Local_Government_count,0.015341347,1.01545963
37,intervention_type_Assessment_count,0.014814717,1.014924998
38,stability_initial,0.011461515,1.01152745
39,Civil_Society_count,0.007737275,1.007767285
40,dominant_topic_0_count,0,1
41,Gender_Equality_count,0,1
42,Natural_Resource_count,0,1
43,intervention_type_Study_count,0,1
44,Disaster_Recovery_count,-0.009941952,0.990107306
45,dominant_topic_4_count,-0.019565544,0.980624619
46,awd_amount_median_low,-0.024282995,0.976009465
47,topic4_mean,-0.025844324,0.974486782
48,Governance_count,-0.027827033,0.972556573
49,Economic_Growth_count,-0.036845647,0.963824893
50,topic3_mean,-0.04975059,0.9514667
51,awd_value_median,-0.063446423,0.938524402
52,res_sub_score_mean,-0.066419939,0.935737829
53,awd_value_sum,-0.086774805,0.91688355
54,awd_value_mean,-0.103491144,0.901684008
55,topic1_mean,-0.109189923,0.896560123
56,Democracy_and_Governance_count,-0.11476507,0.891575577
57,intervention_type_Participation_count,-0.131499187,0.876779988
58,Environment_count,-0.1428677,0.866868748
59,Private_Sector_count,-0.1428677,0.866868748
60,dominant_topic_3_count,-0.143040436,0.866719021
61,Economic_Growth_count,-0.14992766,0.860770242
62,Agriculture_and_Food_Security_count,-0.150878123,0.859952501
63,Agriculture_and_Food_Security_countGovernance_countPublic_Finance_countDemocracy_and_Governance_count,-0.150878123,0.859952501
64,awd_amount_low,-0.167688031,0.8456176
65,Public_Finance_count,-0.177063294,0.83772676
66,intervention_type_Citizen_Media_Business_Engagement_Participation_count,-0.184971067,0.831128331
67,Civil_Society_countGovernance_countHealthcare_count,-0.184971067,0.831128331
68,awd_amount_median_high,-0.187735951,0.828833531
69,dominant_topic_1_count,-0.209147587,0.811275493
70,awd_amount_very_high,-0.244867501,0.782808253
71,Local_Government_countEconomic_Growth_count,-0.249415489,0.779256134
72,Local_Government_count,-0.258284166,0.772375718
73,desc_senti_score_mean,-0.271257113,0.762420443
74,Public_Finance_count,-0.272251196,0.76166291
75,Rule_of_Law_countGovernance_count,-0.325724578,0.722004016
76,Governance_count,-0.375862197,0.686696955
77,res_senti_score_mean,-0.431014377,0.649849568
