,Country Code,Year,Country Name,Completeness Of Death Registration With Cause-Of-Death Information (%),Completeness Of Birth Registration (%),"Population, Total",Population Growth (Annual %),"Life Expectancy At Birth, Total (Years)","Adolescent Fertility Rate (Births Per 1,000 Women Ages 15-19)",Prevalence Of Undernourishment (% Of Population),International Migrant Stock (% Of Population),Refugee Population By Country Or Territory Of Origin,Domestic Private Health Expenditure (% Of Current Health Expenditure),Out-Of-Pocket Expenditure (% Of Current Health Expenditure),Domestic General Government Health Expenditure (% Of Gdp),Lifetime Risk Of Maternal Death (%),People Using Safely Managed Drinking Water Services (% Of Population),Demand For Family Planning Satisfied By Modern Methods (% Of Married Women With Demand For Family Planning),"Mortality Rate, Neonatal (Per 1,000 Live Births)","Mortality From Cvd, Cancer, Diabetes Or Crd Between Exact Ages 30 And 70 (%)","Mortality Rate, Under-5 (Per 1,000 Live Births)"
0,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
1,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
2,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
3,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
4,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
5,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
6,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
7,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
8,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
9,AFG,2000,Afghanistan,,,20779953.0,2.975052846,55.841,153.951,46.1,0.385327536,3587327.0,,,,11.21563799,,,60.6,34.4,128.7
