,Country Code,Year,Country Name,Export Value Index (2000 = 100),Import Value Index (2000 = 100),High-Technology Exports (% Of Manufactured Exports),Trade In Services (% Of Gdp),Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To High-Income Economies (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Merchandise Imports From Low- And Middle-Income Economies Within Region (% Of Total Merchandise Imports),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),Net Barter Terms Of Trade Index (2000 = 100),Merchandise Trade (% Of Gdp),Logistics Performance Index: Overall (1=Low To 5=High),"Burden Of Customs Procedure, Wef (1=Extremely Inefficient To 7=Extremely Efficient)",Total Tax And Contribution Rate (% Of Profit),Average Number Of Visits Or Required Meetings With Tax Officials (For Affected Firms),Firms Expected To Give Gifts In Meetings With Tax Officials (% Of Firms),Strength Of Legal Rights Index (0=Weak To 12=Strong),Time Spent Dealing With The Requirements Of Government Regulations (% Of Senior Management Time)
0,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
1,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
2,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
3,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
4,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
5,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
6,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
7,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
8,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
9,AFG,2000,Afghanistan,100.0,100.0,,,43.75968748,15.60672677,40.63358575,13.53352064,24.70046745,12.34872648,100.0,,,,,,,,
