,Country Code,Year,Country Name,"Population, Total",Population Growth (Annual %),"Life Expectancy At Birth, Total (Years)","Adolescent Fertility Rate (Births Per 1,000 Women Ages 15-19)",Prevalence Of Undernourishment (% Of Population),Refugee Population By Country Or Territory Of Origin,Domestic Private Health Expenditure (% Of Current Health Expenditure),Domestic General Government Health Expenditure (% Of Gdp),Lifetime Risk Of Maternal Death (%),"Mortality Rate, Neonatal (Per 1,000 Live Births)"
0,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
1,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
2,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
3,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
4,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
5,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
6,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
7,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
8,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
9,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
10,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
11,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
12,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
13,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
14,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
15,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
16,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
17,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
18,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
19,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
20,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
21,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
22,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
23,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
24,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
25,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
26,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
27,AFG,2000,Afghanistan,20779953.0,2.975052846,55.841,153.951,46.1,3587327.0,,,11.21563799,60.6
