,Country Code,Year,Country Name,Rural Population,"Access To Electricity, Rural (% Of Rural Population)",Food Production Index (2004-2006 = 100),Agricultural Land (% Of Land Area)
0,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
1,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
2,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
3,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
4,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
5,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
6,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
7,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
8,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
9,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
10,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
11,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
12,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
13,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
14,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
15,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
16,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
17,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
18,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
19,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
20,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
21,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
22,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
23,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
24,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
25,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
26,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
27,AFG,2000,Afghanistan,16192155.0,,86.04,57.82709922
28,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
29,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
30,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
31,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
32,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
33,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
34,AFG,2001,Afghanistan,16816935.0,,77.42,57.82709922
