,country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,dominant_topic,topic4_median,dominant_topic_4_count,dominant_topic_3_count,dominant_topic_2_count,dominant_topic_1_count,dominant_topic_0_count,max_count_topic_categories,Independent_Agencies_count,Rule_of_Law_count,Elections_and_Political_Processes_count,Local_Government_count,Legislature_count,Economic_Governance_count,Disaster_Recovery_count,Economic_Growth_count,Media_count,Civil_Society_count,Agriculture_and_Food_Security_count,Governance_count,Healthcare_count,Public_Finance_count,Environment_count,Private_Sector_count,Democracy_and_Governance_count,Gender_Equality_count,Natural_Resource_count,Education_count,max_count_sector_categories,desc_senti_score_median,desc_sub_score_median,res_senti_score_median,res_sub_score_median,desc_senti_score_mean,desc_sub_score_mean,res_senti_score_mean,res_sub_score_mean,desc_senti_score_min,desc_sub_score_min,res_senti_score_min,res_sub_score_min,desc_senti_score_max,desc_sub_score_max,res_senti_score_max,res_sub_score_max,intervention_type_Awareness_count,intervention_type_Transparency_count,intervention_type_Assessment_count,intervention_type_Accountability_count,intervention_type_Participation_count,intervention_type_Enforcement_count,intervention_type_Study_count,intervention_type_Citizen_Media_Business_Engagement_Participation_count,awd_value_min,awd_value_max,awd_value_mean,awd_value_median,awd_amount_very_low,awd_amount_low,awd_amount_median_low,awd_amount_median,awd_amount_median_high,awd_amount_high,awd_amount_very_high,corruption_initial,stability_initial,stability_median,numberofprojects,corruption_median,change_s,change_c
0,Afghanistan,3.071428571,0,7,3,0.036428571,0.03,0.06,0.03,0.037857143,0.03,0.08,0.03,0.066071429,0.03,0.75,0.035,0.176428571,0.03,0.84,0.04,0.679642857,0.04,0.89,0.835,23,4,1,0,0,dominant_topic_4_count,1,2,4,11,1,2,0,3,1,1,1,1,0,0,0,0,0,0,0,0,Local_Government_count,0,0.2,0.007407408,0.442261905,0.00266036,0.25012415,0.095316498,0.392658236,-0.355555556,0,-0.45,0,0.497142857,0.827142857,0.9,0.8,8,13,4,14,13,0,0,0,1635357,349078330,69509363.88,49100468,4,1,3,1,7,7,5,High Corruption,Unstable,Very Unstable,28,Very High Corruption,Worse,Worse
1,Albania,3.75,2,5,3.5,0.0375,0.03,0.05,0.04,0.07875,0.03,0.27,0.045,0.05375,0.03,0.17,0.04,0.30875,0.03,0.78,0.21,0.52375,0.04,0.87,0.565,5,3,0,0,0,dominant_topic_4_count,0,3,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Rule_of_Law_count,0.025,0.421111111,-0.055508242,0.291666667,0.053541667,0.411111111,-0.092046703,0.33821772,-0.25,0.008333333,-0.23,0,0.3,0.95,0.044642857,0.700833333,1,8,0,6,2,3,0,0,5100000,15731000,9396956.125,8809162.5,0,0,6,2,0,0,0,High Corruption,Unstable,Unstable,8,High Corruption,Same,Same
2,Angola,5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0,1,0,1,0,0,0,0,16900000,16900000,16900000,16900000,0,0,0,1,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
3,Armenia,4.25,4,5,4,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8625,0.83,0.89,0.865,4,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Civil_Society_count,-0.103125,0.310416667,0,0.347470238,-0.108705357,0.348065476,-0.045442708,0.346354167,-0.328571429,0,-0.205580357,0,0.1,0.771428571,0.023809524,0.69047619,1,1,0,0,2,1,0,0,548000,15500000,8619596.333,9810789,1,0,1,1,0,0,0,High Corruption,Unstable,Unstable,4,High Corruption,Same,Same
4,Azerbaijan,2.8,1,4,3,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.15,0.03,0.62,0.03,0.752,0.3,0.87,0.87,4,1,0,0,0,dominant_topic_4_count,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Rule_of_Law_countLegislature_countEconomic_Growth_countCivil_Society_countPublic_Finance_count,-0.015625,0.46375,0,0.314891519,0.021791667,0.342333333,-0.078747253,0.281025923,-0.25,0.066666667,-0.28,0,0.5,0.508333333,0.011904762,0.62,1,3,0,2,1,1,0,0,800000,12029205,5832565.25,5250528,1,1,1,1,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
5,Bangladesh,4.333333333,3,5,5,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.846666667,0.82,0.88,0.84,3,0,0,0,0,dominant_topic_4_count,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_countGovernance_count,0.14,0.153333333,0.04,0.353061224,0.18,0.212222222,0.063320736,0.373375584,0,0,-0.12962963,0.34,0.4,0.483333333,0.279591837,0.427065527,2,1,0,1,3,0,0,0,10176037,19248165,15870026,18185876,0,0,0,3,0,0,0,High Corruption,Very Unstable,Very Unstable,3,High Corruption,Same,Same
6,Bolivia,4,3,5,4,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.86,0.84,0.88,0.86,2,0,0,0,0,dominant_topic_4_count,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.065151515,0.105303031,0.167857143,0.249404762,0.065151515,0.105303031,0.167857143,0.249404762,0,0,0.157142857,0.213095238,0.13030303,0.210606061,0.178571429,0.285714286,1,1,0,1,1,0,0,0,20000000,20000000,20000000,20000000,0,0,0,1,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
7,Bosnia and Herzegovina,3.5,0,5,4,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.043333333,0.03,0.1,0.03,0.388333333,0.03,0.85,0.32,0.5,0.04,0.89,0.58,3,3,0,0,0,dominant_topic_4_countdominant_topic_3_count,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_count,0.166666667,0.256428572,0.030262924,0.230259979,0.130027282,0.315586144,0.062162294,0.331753327,-0.1953125,0.188888889,-0.05,0.066666667,0.265,0.581770833,0.22,0.866666667,1,3,1,3,2,3,0,0,148986,17798883,8670904.833,9345107,1,1,1,3,0,0,0,High Corruption,Unstable,Unstable,6,High Corruption,Same,Same
8,Bulgaria,5,5,5,5,0.03,0.03,0.03,0.03,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07,0.77,0.77,0.77,0.77,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,0,1,0,1,0,0,0,0,11304177,11304177,11304177,11304177,0,0,0,1,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
9,Burundi,3,2,4,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,2,0,0,0,0,dominant_topic_4_count,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.066666666,0.8,0.468131868,0.547619048,0.066666666,0.8,0.468131868,0.547619048,-0.5,0.6,0.236263736,0.495238095,0.633333333,1,0.7,0.6,0,2,0,2,2,0,0,0,4406869.97,9271812,6839340.985,6839340.985,0,1,1,0,0,0,0,High Corruption,Very Unstable,Very Unstable,2,High Corruption,Same,Same
10,Cambodia,4.285714286,0,5,5,0.034285714,0.03,0.04,0.03,0.034285714,0.03,0.04,0.03,0.055714286,0.03,0.19,0.03,0.487142857,0.03,0.86,0.56,0.388571429,0.04,0.89,0.34,3,4,0,0,0,dominant_topic_3_count,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Rule_of_Law_count,0.123214286,0.356845238,0.01,0.359333333,0.089366076,0.329155453,0.00708225,0.313422741,-0.123076923,0.033333333,-0.22,0,0.25,0.514880952,0.250666667,0.666666667,2,4,1,4,2,1,0,0,2185355,22650000,12562042.83,12734935,1,1,2,3,0,0,0,High Corruption,Unstable,Unstable,7,High Corruption,Same,Same
11,Colombia,3.5,2,4,4,0.0375,0.03,0.05,0.035,0.0375,0.03,0.05,0.035,0.0375,0.03,0.05,0.035,0.3375,0.03,0.8,0.26,0.55,0.05,0.87,0.64,2,2,0,0,0,dominant_topic_4_countdominant_topic_3_count,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_count,0.06439394,0.227777778,0.05719697,0.239980159,0.040530303,0.205555555,0.054193723,0.249355159,-0.2,0.033333333,-0.007142857,0.188888889,0.233333333,0.333333333,0.10952381,0.328571429,3,2,0,2,2,0,0,0,4300000,23837559,14034389.75,14000000,0,1,0,3,0,0,0,High Corruption,Very Unstable,Unstable,4,High Corruption,Better,Same
12,Democratic Republic of Congo,4.5,4,5,4.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.45,0.04,0.86,0.45,0.445,0.04,0.85,0.445,1,1,0,0,0,dominant_topic_4_countdominant_topic_3_count,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_count,0.055555556,0.122222222,0.395,0.53,0.055555556,0.122222222,0.395,0.53,0,0,0.29,0.5,0.111111111,0.244444444,0.5,0.56,2,2,0,2,2,0,0,0,5952904,20484410,13218657,13218657,0,0,1,1,0,0,0,Very High Corruption,Very Unstable,Very Unstable,2,High Corruption,Same,Better
13,Djibouti,2,2,2,2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.88,0.88,0.88,1,0,0,0,0,dominant_topic_4_count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Independent_Agencies_count,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,1,1,0,1,0,0,0,0,343372,343372,343372,343372,1,0,0,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
14,Dominican Republic,3.714285714,2,6,4,0.037142857,0.03,0.05,0.04,0.048571429,0.03,0.1,0.04,0.037142857,0.03,0.05,0.04,0.318571429,0.03,0.78,0.07,0.554285714,0.06,0.87,0.77,4,3,0,0,0,dominant_topic_4_count,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_count,-0.1875,0.533333333,0,0.306547619,-0.050961538,0.460760073,-0.09508774,0.332234977,-0.369230769,0.033333333,-0.333333333,0,0.7,0.9,0.055844156,0.688888889,1,6,0,6,0,1,0,0,2900000,9500000,5860000,5400000,0,2,3,0,0,0,0,High Corruption,Unstable,Unstable,7,High Corruption,Same,Same
15,East Timor,3.5,0,10,2,0.038333333,0.03,0.05,0.04,0.038333333,0.03,0.05,0.04,0.06,0.03,0.14,0.045,0.083333333,0.03,0.16,0.075,0.786666667,0.66,0.86,0.8,6,0,0,0,0,dominant_topic_4_count,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_count,-0.145833334,0.6,0.079166667,0.353819445,-0.054783951,0.558024692,0.088579545,0.306677189,-0.292592593,0.066666667,-0.227272727,0,0.533333333,0.803703704,0.310416667,0.609090909,2,2,2,2,4,0,0,0,3000000,10496000,6798666.667,6900000,2,1,1,1,0,0,0,High Corruption,Unstable,Unstable,6,High Corruption,Same,Same
16,Ecuador,3.666666667,3,5,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.87,0.89,0.88,3,0,0,0,0,dominant_topic_4_count,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0,0.12,-0.025694444,0.177777778,-0.146666667,0.384444444,-0.007377946,0.238055556,-0.5,0.033333333,-0.1025,0.172222222,0.06,1,0.106060606,0.364166667,2,3,0,2,0,0,0,0,3600000,11359000,7479500,7479500,0,1,0,1,0,0,0,High Corruption,Unstable,Unstable,3,High Corruption,Same,Same
17,Egypt,5.222222222,4,8,5,0.031111111,0.03,0.04,0.03,0.031111111,0.03,0.04,0.03,0.031111111,0.03,0.04,0.03,0.585555556,0.03,0.89,0.83,0.316666667,0.03,0.87,0.04,3,6,0,0,0,dominant_topic_3_count,0,2,0,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,Economic_Growth_count,0,0.3,0,0.200595238,-0.033064374,0.310608466,-0.111053792,0.303875661,-0.5,0,-0.4,0,0.194444444,1,0.080952381,0.685714286,1,5,0,5,5,1,0,0,1959935,138245857,31203754.67,19581027,0,2,0,4,2,0,1,High Corruption,Unstable,Unstable,9,High Corruption,Same,Same
18,El Salvador,4.5,4,5,4.5,0.035,0.03,0.04,0.035,0.065,0.03,0.16,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8275,0.73,0.87,0.855,4,0,0,0,0,dominant_topic_4_count,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rule_of_Law_count,0,0.194444444,0.13,0.405,0.023611111,0.202777778,0.1,0.365833333,-0.138888889,0,-0.26,0,0.233333333,0.422222222,0.4,0.653333333,3,3,0,3,2,1,0,0,5400000,8500000,7350000,7750000,0,0,4,0,0,0,0,High Corruption,Unstable,Unstable,4,High Corruption,Same,Same
19,Ethiopia,5,5,5,5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0,1,0,1,1,0,0,0,5000000,5000000,5000000,5000000,0,1,0,0,0,0,0,High Corruption,Very Unstable,Very Unstable,1,High Corruption,Same,Same
20,Georgia,3.75,3,4,4,0.0375,0.03,0.04,0.04,0.05,0.03,0.09,0.04,0.0375,0.03,0.04,0.04,0.635,0.03,0.86,0.825,0.255,0.04,0.9,0.04,1,3,0,0,0,dominant_topic_3_count,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_count,0.05,0.133333334,-0.051388889,0.225,0.075,0.166666667,-0.075694445,0.283333333,0,0.066666667,-0.25,0.15,0.2,0.333333333,0.05,0.533333333,2,3,0,3,0,0,0,0,3702997,19552000,13087001.25,14546504,0,1,0,3,0,0,0,High Corruption,Unstable,Unstable,4,High Corruption,Same,Same
21,Ghana,3,3,3,3,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,1,0,1,0,0,0,0,8997671,8997671,8997671,8997671,0,0,1,0,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
22,Guatemala,3.8,3,4,4,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.196,0.03,0.83,0.04,0.696,0.04,0.88,0.85,4,1,0,0,0,dominant_topic_4_count,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_count,0,0.483333333,0.003333333,0.295,-0.109464286,0.469107143,-0.016166667,0.333666667,-0.8,0.03125,-0.166666667,0.13,0.4,1,0.0425,0.666666667,2,4,0,4,2,0,0,0,4800000,7100000,5850000,5750000,0,1,3,0,0,0,0,High Corruption,Unstable,Unstable,5,High Corruption,Same,Same
23,Guinea,1,1,1,1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.74,0.74,0.74,0.74,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0,0,1,0,0,dominant_topic_2_count,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Economic_Growth_count,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0,1,0,0,0,0,0,0,950000,950000,950000,950000,1,0,0,0,0,0,0,High Corruption,Very Unstable,Very Unstable,1,High Corruption,Same,Same
24,Guyana,3,2,4,3,0.03,0.03,0.03,0.03,0.055,0.03,0.08,0.055,0.03,0.03,0.03,0.03,0.045,0.03,0.06,0.045,0.83,0.82,0.84,0.83,2,0,0,0,0,dominant_topic_4_count,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rule_of_Law_countPublic_Finance_count,0.026666667,0.095,0.134444444,0.370648148,0.026666667,0.095,0.134444444,0.370648148,0,0,0.066666667,0.338518519,0.053333333,0.19,0.202222222,0.402777778,2,2,0,1,1,0,0,0,6600000,7700000,7150000,7150000,0,0,2,0,0,0,0,High Corruption,Unstable,Unstable,2,High Corruption,Same,Same
25,Haiti,4,4,4,4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,1,0,0,0,0,dominant_topic_4_count,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local_Government_count,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,1,1,0,0,0,0,0,0,14723832,14723832,14723832,14723832,0,0,0,1,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
26,Honduras,2.666666667,0,5,3,0.04,0.03,0.06,0.03,0.04,0.03,0.06,0.03,0.266666667,0.03,0.74,0.03,0.326666667,0.03,0.88,0.07,0.326666667,0.03,0.88,0.07,1,1,1,0,0,dominant_topic_4_countdominant_topic_3_countdominant_topic_2_count,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rule_of_Law_countLocal_Government_countGovernance_count,0.1,0.18,0.06,0.1,0.063333333,0.337777778,0.053333333,0.164444444,-0.25,0.133333333,0,0,0.34,0.7,0.1,0.393333333,1,2,1,1,1,0,0,0,4200000,4616373,4408186.5,4408186.5,1,2,0,0,0,0,0,High Corruption,Unstable,Unstable,3,High Corruption,Same,Same
27,Indonesia,3.117647059,0,6,4,0.035882353,0.03,0.05,0.03,0.044117647,0.03,0.18,0.03,0.048823529,0.03,0.15,0.04,0.295882353,0.03,0.86,0.09,0.575882353,0.04,0.89,0.75,12,5,0,0,0,dominant_topic_4_count,1,6,0,3,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,Rule_of_Law_count,0,0.433333333,0,0.367460317,-0.025823996,0.4501101,0.026948905,0.35751582,-0.5,0.011111111,-0.266666667,0,0.35,1,0.4,0.733333333,3,11,3,12,2,2,0,0,102600,61800000,18845242.79,17150601.5,3,0,2,8,1,1,0,High Corruption,Unstable,Unstable,17,High Corruption,Same,Same
28,Iraq,3.625,2,5,3.5,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.14875,0.03,0.87,0.035,0.7575,0.03,0.89,0.87,7,1,0,0,0,dominant_topic_4_count,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Local_Government_count,0.068452381,0.270721727,0.011666666,0.257314815,0.09337686,0.362530019,0.081480655,0.306141604,-0.279166667,0.046153846,-0.172916667,0.066666667,0.586666667,0.78,0.6,0.808333333,4,5,0,4,3,2,0,0,35600000,370000000,160962472.8,131188891,0,0,0,0,2,1,5,Very High Corruption,Very Unstable,Very Unstable,8,Very High Corruption,Same,Same
29,Jamaica,6,6,6,6,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1,0,0,0,0,dominant_topic_4_count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Independent_Agencies_count,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0,0,0,0,1,1,0,0,11400000,11400000,11400000,11400000,0,0,0,1,0,0,0,High Corruption,Unstable,Unstable,1,High Corruption,Same,Same
