country,desc_senti_score_median,desc_sub_score_median,res_senti_score_median,res_sub_score_median,desc_senti_score_mean,desc_sub_score_mean,res_senti_score_mean,res_sub_score_mean,desc_senti_score_min,desc_sub_score_min,res_senti_score_min,res_sub_score_min,desc_senti_score_max,desc_sub_score_max,res_senti_score_max,res_sub_score_max,intervention_type_Awareness_count,intervention_type_Transparency_count,intervention_type_Assessment_count,intervention_type_Accountability_count,intervention_type_Participation_count,intervention_type_Enforcement_count,intervention_type_Study_count,intervention_type_Citizen_Media_Business_Engagement_Participation_count
Afghanistan,0,0.2,0.007407408,0.442261905,0.00266036,0.25012415,0.095316498,0.392658236,-0.355555556,0,-0.45,0,0.497142857,0.827142857,0.9,0.8,8,13,4,14,13,0,0,0
Albania,0.025,0.421111111,-0.055508242,0.291666667,0.053541667,0.411111111,-0.092046703,0.33821772,-0.25,0.008333333,-0.23,0,0.3,0.95,0.044642857,0.700833333,1,8,0,6,2,3,0,0
Angola,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0.140625,0.219791667,-0.188888889,0.320833333,0,1,0,1,0,0,0,0
Armenia,-0.103125,0.310416667,0,0.347470238,-0.108705357,0.348065476,-0.045442708,0.346354167,-0.328571429,0,-0.205580357,0,0.1,0.771428571,0.023809524,0.69047619,1,1,0,0,2,1,0,0
Azerbaijan,-0.015625,0.46375,0,0.314891519,0.021791667,0.342333333,-0.078747253,0.281025923,-0.25,0.066666667,-0.28,0,0.5,0.508333333,0.011904762,0.62,1,3,0,2,1,1,0,0
Bangladesh,0.14,0.153333333,0.04,0.353061224,0.18,0.212222222,0.063320736,0.373375584,0,0,-0.12962963,0.34,0.4,0.483333333,0.279591837,0.427065527,2,1,0,1,3,0,0,0
Bolivia,0.065151515,0.105303031,0.167857143,0.249404762,0.065151515,0.105303031,0.167857143,0.249404762,0,0,0.157142857,0.213095238,0.13030303,0.210606061,0.178571429,0.285714286,1,1,0,1,1,0,0,0
Bosnia and Herzegovina,0.166666667,0.256428572,0.030262924,0.230259979,0.130027282,0.315586144,0.062162294,0.331753327,-0.1953125,0.188888889,-0.05,0.066666667,0.265,0.581770833,0.22,0.866666667,1,3,1,3,2,3,0,0
Bulgaria,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,-0.114,0.394,-0.134333333,0.465,0,1,0,1,0,0,0,0
Burundi,0.066666666,0.8,0.468131868,0.547619048,0.066666666,0.8,0.468131868,0.547619048,-0.5,0.6,0.236263736,0.495238095,0.633333333,1,0.7,0.6,0,2,0,2,2,0,0,0
Cambodia,0.123214286,0.356845238,0.01,0.359333333,0.089366076,0.329155453,0.00708225,0.313422741,-0.123076923,0.033333333,-0.22,0,0.25,0.514880952,0.250666667,0.666666667,2,4,1,4,2,1,0,0
Colombia,0.06439394,0.227777778,0.05719697,0.239980159,0.040530303,0.205555555,0.054193723,0.249355159,-0.2,0.033333333,-0.007142857,0.188888889,0.233333333,0.333333333,0.10952381,0.328571429,3,2,0,2,2,0,0,0
Democratic Republic of Congo,0.055555556,0.122222222,0.395,0.53,0.055555556,0.122222222,0.395,0.53,0,0,0.29,0.5,0.111111111,0.244444444,0.5,0.56,2,2,0,2,2,0,0,0
Djibouti,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,-0.033928571,0.471428571,0.167272727,0.533333333,1,1,0,1,0,0,0,0
Dominican Republic,-0.1875,0.533333333,0,0.306547619,-0.050961538,0.460760073,-0.09508774,0.332234977,-0.369230769,0.033333333,-0.333333333,0,0.7,0.9,0.055844156,0.688888889,1,6,0,6,0,1,0,0
East Timor,-0.145833334,0.6,0.079166667,0.353819445,-0.054783951,0.558024692,0.088579545,0.306677189,-0.292592593,0.066666667,-0.227272727,0,0.533333333,0.803703704,0.310416667,0.609090909,2,2,2,2,4,0,0,0
Ecuador,0,0.12,-0.025694444,0.177777778,-0.146666667,0.384444444,-0.007377946,0.238055556,-0.5,0.033333333,-0.1025,0.172222222,0.06,1,0.106060606,0.364166667,2,3,0,2,0,0,0,0
Egypt,0,0.3,0,0.200595238,-0.033064374,0.310608466,-0.111053792,0.303875661,-0.5,0,-0.4,0,0.194444444,1,0.080952381,0.685714286,1,5,0,5,5,1,0,0
El Salvador,0,0.194444444,0.13,0.405,0.023611111,0.202777778,0.1,0.365833333,-0.138888889,0,-0.26,0,0.233333333,0.422222222,0.4,0.653333333,3,3,0,3,2,1,0,0
Ethiopia,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0.1,0.1,0.111428571,0.268928571,0,1,0,1,1,0,0,0
Georgia,0.05,0.133333334,-0.051388889,0.225,0.075,0.166666667,-0.075694445,0.283333333,0,0.066666667,-0.25,0.15,0.2,0.333333333,0.05,0.533333333,2,3,0,3,0,0,0,0
Ghana,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,0.022222222,-0.083333333,0.155555556,0,1,0,1,0,0,0,0
Guatemala,0,0.483333333,0.003333333,0.295,-0.109464286,0.469107143,-0.016166667,0.333666667,-0.8,0.03125,-0.166666667,0.13,0.4,1,0.0425,0.666666667,2,4,0,4,2,0,0,0
Guinea,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0.285714286,0.535714286,0.071428571,0.165178571,0,1,0,0,0,0,0,0
Guyana,0.026666667,0.095,0.134444444,0.370648148,0.026666667,0.095,0.134444444,0.370648148,0,0,0.066666667,0.338518519,0.053333333,0.19,0.202222222,0.402777778,2,2,0,1,1,0,0,0
Haiti,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,0.033333333,0.076388889,0.2,0.3,1,1,0,0,0,0,0,0
Honduras,0.1,0.18,0.06,0.1,0.063333333,0.337777778,0.053333333,0.164444444,-0.25,0.133333333,0,0,0.34,0.7,0.1,0.393333333,1,2,1,1,1,0,0,0
Indonesia,0,0.433333333,0,0.367460317,-0.025823996,0.4501101,0.026948905,0.35751582,-0.5,0.011111111,-0.266666667,0,0.35,1,0.4,0.733333333,3,11,3,12,2,2,0,0
Iraq,0.068452381,0.270721727,0.011666666,0.257314815,0.09337686,0.362530019,0.081480655,0.306141604,-0.279166667,0.046153846,-0.172916667,0.066666667,0.586666667,0.78,0.6,0.808333333,4,5,0,4,3,2,0,0
Jamaica,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0.025,0.541666667,-0.096666667,0.483333333,0,0,0,0,1,1,0,0
Jordan,0.108333333,0.177777778,-0.05,0.575,0.077431973,0.204376417,0.051368643,0.473493683,-0.0625,0.066666667,-0.15,0.083333333,0.242857143,0.367857143,0.544444444,0.722222222,1,4,0,5,4,0,0,0
Kazakhstan,0.140476191,0.312117347,0.283816184,0.258333334,0.115072279,0.308935658,0.246074759,0.220489927,-0.05,0.211507937,0,0,0.229336735,0.4,0.416666667,0.36529304,1,4,0,3,1,0,0,0
Kenya,0.083333334,0.332555556,0.128373016,0.392956349,0.090428572,0.316873016,0.135615079,0.330406746,-0.090666667,0.066666667,0,0,0.285714286,0.535714286,0.285714286,0.535714286,0,1,0,4,1,1,0,0
Kosovo,0.103182235,0.31686508,0,0.255119048,0.128005189,0.288265924,-0.007390873,0.248558201,-0.133333333,0.066666667,-0.3,0.016666667,0.4,0.577916667,0.177083333,0.52,0,4,0,3,0,4,0,0
