desc_polarity,desc_subjectivity,desc_polarity_label,desc_subjectivity_label
-0.051333333,0.574666667,negative,subjective
-0.06,0.466666667,negative,objective
0,0,neutral,objective
-0.028125,0.421875,negative,objective
0.275,0.341666667,positive,objective
0,0,neutral,objective
0.216666667,0.383333333,positive,objective
0,0.0625,neutral,objective
0,0,neutral,objective
0.3,0.3,positive,objective
0,0,neutral,objective
0,0,neutral,objective
0.083333333,0.2,positive,objective
0.041666667,0.188888889,positive,objective
0,0.266666667,neutral,objective
0,0,neutral,objective
0,0,neutral,objective
0.022294372,0.232251082,positive,objective
0,0.066666667,neutral,objective
-0.02,0.51,negative,subjective
0.1,0.2,positive,objective
0.011111111,0.105555556,positive,objective
0.016666667,0.033333333,positive,objective
0.033333333,0.066666667,positive,objective
0,0,neutral,objective
0,0.008333333,neutral,objective
-0.314285714,0.757142857,negative,subjective
0.2,0.2,positive,objective
0.065625,0.191666667,positive,objective
0,0,neutral,objective
0.497142857,0.827142857,positive,subjective
0.3,0.42,positive,objective
-0.133333333,0.166666667,negative,objective
-0.1,0.422222222,negative,objective
0.286666667,0.446666667,positive,objective
0.15,0.23,positive,objective
-0.25,0.533333333,negative,subjective
0.05,0.95,positive,subjective
0.140625,0.219791667,positive,objective
-0.179545455,0.368181818,negative,objective
0.22,0.22,positive,objective
0,0,neutral,objective
0.1,0.2,positive,objective
-0.257142857,0.771428571,negative,subjective
-0.102314815,0.404166667,negative,objective
0.318181818,0.477272727,positive,objective
-0.015625,0.172916667,negative,objective
-0.214285714,0.438095238,negative,objective
0.016666667,0.066666667,positive,objective
0.4,0.483333333,positive,objective
0,0,neutral,objective
0.14,0.153333333,positive,objective
0,0,neutral,objective
0.083333333,0.141666667,positive,objective
-0.115767045,0.513589015,negative,subjective
-0.080909091,0.388484848,negative,objective
0.166666667,0.188888889,positive,objective
0.166666667,0.2,positive,objective
0.353333333,0.546666667,positive,subjective
0.157142857,0.292857143,positive,objective
0.142857143,0.317857143,positive,objective
0,0,neutral,objective
0.633333333,0.6,positive,subjective
-0.05,0.033333333,negative,objective
-0.054545455,0.351515152,negative,objective
-0.2,0.333333333,negative,objective
0.132142857,0.388392857,positive,objective
0.204761905,0.356845238,positive,objective
0.181096681,0.312914863,positive,objective
0.25,0.283333333,positive,objective
0.176530612,0.517006803,positive,subjective
0.233333333,0.222222222,positive,objective
0.112121212,0.233333333,positive,objective
0.016666667,0.033333333,positive,objective
0,0,neutral,objective
-0.25,0.533333333,negative,subjective
0.117424242,0.296969697,positive,objective
-0.033928571,0.471428571,negative,objective
-0.391666667,0.775,negative,subjective
-0.1640625,0.4859375,negative,objective
0.7,0.9,positive,subjective
0,0.066666667,neutral,objective
0,0.033333333,neutral,objective
-0.25,0.533333333,negative,subjective
0,0,neutral,objective
-0.216666667,0.766666667,negative,subjective
-0.277777778,0.777777778,negative,subjective
0.4,0.45,positive,objective
0.125,0.2,positive,objective
0.232467532,0.648917749,positive,subjective
-0.3,0.366666667,negative,objective
-0.025,0.6,negative,subjective
-0.25,1,negative,subjective
0.06,0.12,positive,objective
-0.3,0.626666667,negative,subjective
0,0.033333333,neutral,objective
0.065625,0.178125,positive,objective
0,0.011111111,neutral,objective
0,0.1,neutral,objective
0.107272727,0.487575758,positive,objective
0,0.066666667,neutral,objective
-0.5,1,negative,subjective
0.035714286,0.426190476,positive,objective
-0.2,0.4,negative,objective
0.19047619,0.39047619,positive,objective
0,0,neutral,objective
0.225,0.2875,positive,objective
0,0,neutral,objective
0,0,neutral,objective
-0.138888889,0.422222222,negative,objective
0,0.4,neutral,objective
0.136363636,0.454545455,positive,objective
0.233333333,0.288888889,positive,objective
0.2,0.2,positive,objective
0.2,0.2,positive,objective
0.0875,0.291666667,positive,objective
0,0.066666667,neutral,objective
0,0.022222222,neutral,objective
-0.096885522,0.317592593,negative,objective
0.4,0.483333333,positive,objective
0.071428571,0.080952381,positive,objective
-0.21875,0.75,negative,subjective
0,0.03125,neutral,objective
0,0,neutral,objective
0.285714286,0.535714286,positive,subjective
0.044444444,0.325,positive,objective
0,0,neutral,objective
0.033333333,0.076388889,positive,objective
0.34,0.18,positive,objective
0.112121212,0.24040404,positive,objective
-0.25,0.7,negative,subjective
0.069642857,0.515178571,positive,subjective
0,0,neutral,objective
0.066666667,0.866666667,positive,subjective
-0.103174603,0.546031746,negative,subjective
-0.1,0.5,negative,objective
0.09047619,0.393809524,positive,objective
-0.011038961,0.406060606,negative,objective
0.032,0.146333333,positive,objective
0,0.066666667,neutral,objective
-0.10625,0.614583333,negative,subjective
0.35,0.3,positive,objective
0.107575758,0.364935065,positive,objective
0.022857143,0.194285714,positive,objective
0.586666667,0.78,positive,subjective
0.185714286,0.2,positive,objective
0.108928571,0.206547619,positive,objective
-0.1,0.1,negative,objective
0.103571429,0.235714286,positive,objective
0.064285714,0.087179487,positive,objective
0.089285714,0.767857143,positive,subjective
0.025,0.541666667,positive,subjective
0.133333333,0.177777778,positive,objective
-0.05,0.32,negative,objective
0.108333333,0.216666667,positive,objective
0.122727273,0.32020202,positive,objective
0,0.066666667,neutral,objective
0,0.158333333,neutral,objective
0.242857143,0.367857143,positive,objective
0.273979592,0.418877551,positive,objective
0,0,neutral,objective
0.133333333,0.25,positive,objective
0.147619048,0.211507937,positive,objective
0.166666667,0.211111111,positive,objective
0.068181818,0.260606061,positive,objective
0.285714286,0.535714286,positive,subjective
-0.090666667,0.454,negative,objective
0,0.066666667,neutral,objective
0.4,0.366666667,positive,objective
0.2375,0.560416667,positive,subjective
0.166877104,0.332491582,positive,objective
0,0,neutral,objective
-0.114285714,0.430952381,negative,objective
0.026666667,0.206666667,positive,objective
0.16,0.23,positive,objective
0.1,0.133333333,positive,objective
0.114285714,0.234285714,positive,objective
0.2,0.2,positive,objective
0.2,0.2,positive,objective
0.14,0.173333333,positive,objective
0.094047619,0.252380952,positive,objective
-0.375,0.766666667,negative,subjective
0.6,0.3,positive,objective
0.025,0.09469697,positive,objective
0.418181818,0.677272727,positive,subjective
0,0,neutral,objective
0.283333333,0.491666667,positive,objective
0,0,neutral,objective
-0.2,0.25,negative,objective
0.283333333,0.275,positive,objective
0.15,0.25,positive,objective
0.133333333,0.394444444,positive,objective
0.257142857,0.423809524,positive,objective
0.8,0.9,positive,subjective
0.046428571,0.483928571,positive,objective
0.233333333,0.2,positive,objective
0,0,neutral,objective
0.492857143,0.717857143,positive,subjective
-0.06875,0.375,negative,objective
0.05,0.138888889,positive,objective
0.225,0.35,positive,objective
-0.375,0.766666667,negative,subjective
-0.5,1,negative,subjective
0.006666667,0.013333333,positive,objective
0.018181818,0.427272727,positive,objective
0.266666667,0.313888889,positive,objective
0,0.1,neutral,objective
0.35,0.8,positive,subjective
0.094444444,0.583333333,positive,subjective
0.14,0.145,positive,objective
-0.5,1,negative,subjective
-0.333333333,1,negative,subjective
0.020833333,0.293055556,positive,objective
0,0,neutral,objective
0.322222222,0.433333333,positive,objective
0.2,0.2,positive,objective
0.3,0.288888889,positive,objective
-0.345833333,0.8375,negative,subjective
0,0,neutral,objective
-0.366666667,0.807407407,negative,subjective
0.3,0.271428571,positive,objective
0.25,0.258333333,positive,objective
0.2,0.3,positive,objective
0.0625,0.1875,positive,objective
0.3,0.3,positive,objective
0.2,0.2,positive,objective
0.5,0.5,positive,objective
0.357142857,0.571428571,positive,subjective
-0.5,1,negative,subjective
0.333333333,0.2,positive,objective
0,0.033333333,neutral,objective
-0.007142857,0.475892857,negative,objective
0.066666667,0.126666667,positive,objective
0,0,neutral,objective
0,0,neutral,objective
0,0.05,neutral,objective
-0.1,0.4,negative,objective
0.020833333,0.666666667,positive,subjective
-0.337662338,0.788744589,negative,subjective
0.011111111,0.211111111,positive,objective
0,0,neutral,objective
0.050961538,0.213782051,positive,objective
0.308333333,0.308333333,positive,objective
0.011111111,0.377777778,positive,objective
0,0,neutral,objective
0,0,neutral,objective
-0.433333333,0.733333333,negative,subjective
0.083333333,0.166666667,positive,objective
-0.266666667,0.8,negative,subjective
0,0.066666667,neutral,objective
-0.2,0.511111111,negative,subjective
0.0625,0.5,positive,objective
0.3,0,positive,objective
-0.2,0.713333333,negative,subjective
-0.383333333,0.694444444,negative,subjective
0.1,0.118518519,positive,objective
0.214285714,0.366666667,positive,objective
-0.121212121,0.507070707,negative,subjective
-0.5,1,negative,subjective
0.066666667,0.383333333,positive,objective
-0.375,0.75,negative,subjective
0.05,0.4,positive,objective
0.067272727,0.437575758,positive,objective
0.1,0.157142857,positive,objective
0.030769231,0.612820513,positive,subjective
0,0.033333333,neutral,objective
0.35,0.4,positive,objective
0,0,neutral,objective
0.175,0.525,positive,subjective
0.66,0.71,positive,subjective
-0.15,0.514285714,negative,subjective
0.025,0.25,positive,objective
0,0,neutral,objective
0.283333333,0.2,positive,objective
0.142857143,0.2,positive,objective
0.275,0.341666667,positive,objective
-0.325,0.8,negative,subjective
-0.071428571,0.161904762,negative,objective
-0.25,0.533333333,negative,subjective
0,0.5625,neutral,subjective
0.241666667,0.272222222,positive,objective
0,0,neutral,objective
0.3,0.266666667,positive,objective
0.571428571,0.171428571,positive,objective
0.212244898,0.257482993,positive,objective
0.055555556,0.444444444,positive,objective
-0.166666667,0.68,negative,subjective
0.158333333,0.241666667,positive,objective
-0.202083333,0.525694444,negative,subjective
0.1875,0.208333333,positive,objective
0,0.033333333,neutral,objective
0.35,0.616666667,positive,subjective
0.05,0.169791667,positive,objective
-0.5,1,negative,subjective
-0.046590909,0.322727273,negative,objective
-0.062121212,0.418181818,negative,objective
0,0,neutral,objective
0,0.522222222,neutral,subjective
-0.042424242,0.137878788,negative,objective
0.16,0.54,positive,subjective
0.18,0.26,positive,objective
0.166666667,0.241666667,positive,objective
0.192045455,0.228125,positive,objective
0,0.066666667,neutral,objective
0.083333333,0.2,positive,objective
0.133333333,0.170833333,positive,objective
0.080357143,0.29702381,positive,objective
0,0,neutral,objective
0.171428571,0.180952381,positive,objective
0,0.3,neutral,objective
-0.04,0.513333333,negative,subjective
0,1,neutral,subjective
0,0.125,neutral,objective
-0.5,1,negative,subjective
0.08,0.343333333,positive,objective
