res_polarity,res_subjectivity,res_polarity_label,res_subjectivity_label
0.43,0.57,positive,subjective
0.009090909,0.488636364,positive,objective
0,0,neutral,objective
0.388888889,0.638888889,positive,subjective
0.11,0.34,positive,objective
0.433333333,0.466666667,positive,objective
0,0.283333333,neutral,objective
0.1375,0.517708333,positive,subjective
0.068181818,0.227272727,positive,objective
0.008333333,0.402777778,positive,objective
0.003333333,0.193333333,positive,objective
0,1,neutral,subjective
0.126262626,0.533333333,positive,subjective
-0.138333333,0.338333333,negative,objective
-0.000694444,0.461111111,negative,objective
-0.053977273,0.402367424,negative,objective
0,0,neutral,objective
0.167532468,0.215584416,positive,objective
0,0.777777778,neutral,subjective
0.125,0.235416667,positive,objective
0.033333333,0.066666667,positive,objective
0.0625,0.5,positive,objective
0,0.75,neutral,subjective
0.1625,0.375,positive,objective
-0.183333333,0.511111111,negative,subjective
0,0,neutral,objective
0.259090909,0.40530303,positive,objective
0.9,0.6,positive,subjective
0,0,neutral,objective
0.246897547,0.53965849,positive,subjective
0.566666667,0.566666667,positive,subjective
-0.0375,0.483333333,negative,objective
0.044642857,0.258928571,positive,objective
0.034090909,0.146969697,positive,objective
-0.183125,0.622708333,negative,subjective
0.066563361,0.256473829,positive,objective
0.028181818,0.217272727,positive,objective
-0.041785714,0.457261905,negative,objective
0.011111111,0.086111111,positive,objective
0.285714286,0.535714286,positive,subjective
0.15625,0.346693122,positive,objective
0,0.4,neutral,objective
0,0,neutral,objective
-0.163520408,0.53707483,negative,subjective
-0.133333333,0.319184982,negative,objective
0.062672176,0.175068871,positive,objective
0.011904762,0.411904762,positive,objective
-0.225,0.525,negative,subjective
0,0,neutral,objective
-0.083333333,0.355448718,negative,objective
0.04,0.34,positive,objective
0.244642857,0.433928571,positive,objective
0.154545455,0.243276515,positive,objective
0.077380952,0.31547619,positive,objective
0.061111111,0.688888889,positive,subjective
-0.088878788,0.443181818,negative,objective
0.22,0.48,positive,objective
0.029545455,0.116666667,positive,objective
0.084255051,0.278118687,positive,objective
-0.083333333,0.111111111,negative,objective
0,0.066666667,neutral,objective
0.236263736,0.495238095,positive,objective
0.7,0.6,positive,subjective
0.01,0.08,positive,objective
-0.082051282,0.615384615,negative,subjective
0.013358071,0.25847248,positive,objective
0.249242424,0.350252525,positive,objective
0.111495536,0.312797619,positive,objective
0.040816327,0.362244898,positive,objective
-0.075,0.25,negative,objective
0,0,neutral,objective
0.025,0.254166667,positive,objective
0.096103896,0.226839827,positive,objective
0.10952381,0.328571429,positive,objective
0.29,0.56,positive,subjective
0.057215007,0.297739298,positive,objective
0.5,0.5,positive,objective
0.294545455,0.424242424,positive,objective
-0.06,0.658333333,negative,subjective
0,0,neutral,objective
0,0,neutral,objective
-0.2625,0.7375,negative,subjective
0,0,neutral,objective
-0.25,0.766666667,negative,subjective
0.051923077,0.091025641,positive,objective
-0.123966942,0.559504132,negative,subjective
0,0,neutral,objective
0.285551948,0.435768398,positive,objective
0.15,0.033333333,positive,objective
0.164848485,0.416161616,positive,objective
0.007142857,0.378571429,positive,objective
0.29,0.49,positive,objective
-0.1025,0.364166667,negative,objective
-0.025694444,0.172222222,negative,objective
0,0,neutral,objective
0.106060606,0.177777778,positive,objective
-0.566666667,0.7,negative,subjective
-0.011764706,0.099509804,negative,objective
0.075,0.016666667,positive,objective
-0.023601399,0.229020979,negative,objective
-0.025,0.244444444,negative,objective
-0.271428571,0.685714286,negative,subjective
0.268571429,0.258571429,positive,objective
0.079563492,0.164285714,positive,objective
0.056421356,0.228811929,positive,objective
0,0,neutral,objective
0.12458256,0.281941868,positive,objective
0.028333333,0.53,positive,subjective
0,0.066666667,neutral,objective
-0.027272727,0.62020202,negative,subjective
0.4,0.45,positive,objective
0,0,neutral,objective
0.31038961,0.522727273,positive,subjective
0.095238095,0.178571429,positive,objective
0.05,0.15,positive,objective
-0.077777778,0.205555556,negative,objective
0.068181818,0.260606061,positive,objective
-0.083333333,0.155555556,negative,objective
0.15,0.5,positive,objective
-0.125,1,negative,subjective
0,0.408333333,neutral,objective
0.04,0.168333333,positive,objective
0.003030303,0.209090909,positive,objective
0,0,neutral,objective
0.057142857,0.332142857,positive,objective
0.08125,0.46875,positive,objective
0.202222222,0.338518519,positive,objective
0.2,0.3,positive,objective
0.06,0.393333333,positive,objective
0.1,0.1,positive,objective
0,0,neutral,objective
0.114285714,0.271428571,positive,objective
0.2,0.3,positive,objective
-0.084517443,0.572383499,negative,subjective
-0.066666667,0.1,negative,objective
-0.085714286,0.247619048,negative,objective
0,0,neutral,objective
0.082142857,0.288392857,positive,objective
0.251428571,0.37,positive,objective
-0.22,0.733333333,negative,subjective
0.334090909,0.263636364,positive,objective
0,0.155555556,neutral,objective
0.327777778,0.494444444,positive,objective
-0.266666667,0.416666667,negative,objective
0.6,0.808333333,positive,subjective
-0.15,0.138461538,negative,objective
0.057272727,0.290909091,positive,objective
0.068181818,0.260606061,positive,objective
0.017857143,0.173809524,positive,objective
-0.115909091,0.310227273,negative,objective
0.1,0.183333333,positive,objective
-0.096666667,0.483333333,negative,objective
0.347272727,0.327575758,positive,objective
0.107235622,0.528200371,positive,subjective
0.515151515,0.683838384,positive,subjective
-0.092727273,0.550909091,negative,subjective
-0.073376623,0.417316017,negative,objective
-0.05,0.083333333,negative,objective
-0.15,0.6,negative,subjective
0,0,neutral,objective
0.4,0.25,positive,objective
0.375,0.283333333,positive,objective
0.165862709,0.346003401,positive,objective
0.2375,0.45,positive,objective
0,0,neutral,objective
0.285714286,0.535714286,positive,subjective
0.015746753,0.456655844,positive,objective
0.0625,0.133333333,positive,objective
0.2,0.353333333,positive,objective
-0.270833333,0.495833333,negative,objective
0,0.2,neutral,objective
0.075,0,positive,objective
0.120562771,0.334098124,positive,objective
0.083333333,0.122222222,positive,objective
0.196428571,0.483928571,positive,objective
0,0.293333333,neutral,objective
0.142857143,0.317857143,positive,objective
0.1,0.281818182,positive,objective
0.22244898,0.356972789,positive,objective
0,0,neutral,objective
0.19,0.405,positive,objective
-0.003571429,0.370502646,negative,objective
0.173214286,0.312797619,positive,objective
0.28,0.3,positive,objective
0,0,neutral,objective
0,0.333333333,neutral,objective
0.146666667,0.723333333,positive,subjective
0.16,0.54,positive,subjective
0,0,neutral,objective
0.328571429,0.378571429,positive,objective
0.006666667,0.026666667,positive,objective
-0.045833333,0.183333333,negative,objective
0.186394558,0.405442177,positive,objective
0.525,0.725,positive,subjective
-0.023809524,0.386904762,negative,objective
-0.140833333,0.239166667,negative,objective
0.109090909,0.363636364,positive,objective
0,0.211111111,neutral,objective
0.014285714,0.452380952,positive,objective
0.097727273,0.386868687,positive,objective
0.108080808,0.234343434,positive,objective
-0.3,0.712121212,negative,subjective
-0.108333333,0.5,negative,objective
0,0.016666667,neutral,objective
0.157575758,0.403030303,positive,objective
-0.082857143,0.204761905,negative,objective
-0.008096591,0.240198864,negative,objective
0.029318182,0.379393939,positive,objective
0.1,0.133333333,positive,objective
0.148484848,0.220875421,positive,objective
-0.006060606,0.279242424,negative,objective
-0.033522727,0.375757576,negative,objective
0.173511905,0.371924603,positive,objective
-0.2,0.4,negative,objective
0.657142857,0.780952381,positive,subjective
0.04505608,0.32943477,positive,objective
0.166942149,0.404958678,positive,objective
0.025,0.291666667,positive,objective
-0.222222222,0.459259259,negative,objective
-0.172781955,0.551478697,negative,subjective
-0.083333333,0.280555556,negative,objective
0.028787879,0.283459596,positive,objective
0.178787879,0.351515152,positive,objective
0,0,neutral,objective
0.045454545,0.818181818,positive,subjective
0.166666667,0.333333333,positive,objective
0.140740741,0.210185185,positive,objective
0.177272727,0.530909091,positive,subjective
0,0,neutral,objective
-0.072222222,0.197222222,negative,objective
0.4,0.45,positive,objective
-0.175541126,0.60494228,negative,subjective
-0.004761905,0.20952381,negative,objective
0.4,0.483333333,positive,objective
0.011111111,0.122222222,positive,objective
0.35,0.35,positive,objective
0.211038961,0.49512987,positive,objective
0.1,0.105555556,positive,objective
0,0,neutral,objective
0,0.25,neutral,objective
0.076028139,0.255411255,positive,objective
0,0,neutral,objective
0.3,0.1,positive,objective
0,0,neutral,objective
0.414285714,0.685714286,positive,subjective
0.4,0.466666667,positive,objective
-0.3,0.2,negative,objective
0.09,0.22,positive,objective
0.051010101,0.173737374,positive,objective
-0.15297619,0.276190476,negative,objective
0.142857143,0.301190476,positive,objective
0.2,0.3,positive,objective
0.3,0,positive,objective
-0.18,0.633333333,negative,subjective
0.0625,0.3125,positive,objective
0.011111111,0.220833333,positive,objective
0.179166667,0.225,positive,objective
0.1,0.6,positive,subjective
0.2,0.2,positive,objective
0.053106061,0.417575758,positive,objective
-0.25,0.75,negative,subjective
0.1,0.8,positive,subjective
0.06875,0.54375,positive,subjective
0,0.15,neutral,objective
0,0,neutral,objective
0.15,0.555555556,positive,subjective
-0.161194805,0.58646176,negative,subjective
0.35,0.483333333,positive,objective
0.246666667,0.273333333,positive,objective
0,0,neutral,objective
0.142857143,0.233597884,positive,objective
-0.044444444,0.144444444,negative,objective
0.125,0.325,positive,objective
0.131331169,0.249675325,positive,objective
0.108270677,0.319674185,positive,objective
0.114285714,0.316666667,positive,objective
-0.239583333,0.605555556,negative,subjective
0.113888889,0.313888889,positive,objective
-0.001704545,0.390151515,negative,objective
0.29,0.351666667,positive,objective
-0.013888889,0.196296296,negative,objective
0.041414141,0.287037037,positive,objective
0.136363636,0.454545455,positive,objective
0.033636364,0.245454545,positive,objective
0,0.75,neutral,subjective
-0.2,0.425,negative,objective
-0.125,0.7,negative,subjective
0.2,0.241666667,positive,objective
0,0,neutral,objective
