region,awd_value_min,awd_value_max,awd_value_mean,awd_value_median,awd_amount_very_low,awd_amount_low,awd_amount_median_low,awd_amount_median,awd_amount_median_high,awd_amount_high,awd_amount_very_high
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
East Asia and Pacific (EAP),102600,61800000,12728152.47,10496000,9,10,6,19,2,1,0
