Region_USAID,Year,Corruption Perception Index,Gni Growth (Annual %),"Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),Claims On Central Government (Annual Growth As % Of Broad Money),"Foreign Direct Investment, Net Inflows (% Of Gdp)",Import Value Index (2000 = 100),"Inflation, Consumer Prices (Annual %)",Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)",Broad Money Growth (Annual %),Import Volume Index (2000 = 100),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Bank Liquid Reserves To Bank Assets Ratio (%),Total Tax And Contribution Rate (% Of Profit),Exports Of Goods And Services (% Of Gdp),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),"Industry (Including Construction), Value Added (% Of Gdp)",Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports)
East Asia and Pacific (EAP),2007,26.16666667,7.453816395,4.965930185,110.395,-4.829439943,5.708891443,270.4299418,6.198651532,27.04318837,7.445505466,33.73293142,203.119384,11.20003647,24.29129002,37.78556667,55.29674518,57.76232087,36.73701015,0.289017571,26.75886893,5.784279038
East Asia and Pacific (EAP),2008,26.5,5.349085715,4.113000092,116.47,-1.228745878,6.344038699,364.322308,16.67064888,17.96847771,14.47310072,9.116431916,232.0505821,12.10081702,22.3972859,37.60306667,54.07975235,56.30081243,35.10102801,0.323100754,25.8349293,6.572637057
East Asia and Pacific (EAP),2009,26.66666667,0.970216747,4.646033782,123.465,1.929340812,5.675100568,275.0491836,3.572485169,8.711461103,3.625749105,19.52696222,193.6803355,9.319953423,30.10500057,34.45516667,46.82081744,54.15377489,34.48162517,0.309557213,27.39487154,6.351926931
East Asia and Pacific (EAP),2010,27,8.544944809,4.615664002,121.49,-0.559348026,8.296735983,365.079969,5.903588656,16.59293236,13.01487396,25.12387634,234.948107,9.162726356,33.17682053,32.69773333,49.40402588,54.08668758,33.70531897,0.355163721,30.7691874,6.807295899
East Asia and Pacific (EAP),2011,27.83333333,6.87348568,4.558603398,129.9866667,-1.371432476,10.86929816,530.8910328,7.741798326,18.93565981,9.145306327,14.96125695,285.2434694,10.19989109,28.68803526,34.1087,52.05214588,53.12647331,33.15891285,0.386872087,32.55158367,7.405580656
East Asia and Pacific (EAP),2012,32,7.140223036,4.176406182,136.9983333,-4.252697712,10.17566144,571.4987935,6.113187709,17.52667685,5.46802168,19.16523288,309.1307748,9.700942463,27.13413381,33.26746667,50.4172038,53.762145,33.27379554,0.383895357,32.84358083,9.026205647
East Asia and Pacific (EAP),2013,32,6.969855536,4.295389263,139.8466667,4.646788223,7.135067052,563.6639179,5.201003138,22.52800565,2.875948379,19.47229803,313.1778697,10.54496979,28.61956947,31.66666667,50.36274195,52.81274778,33.01238322,0.382177687,32.91445217,7.533352832
East Asia and Pacific (EAP),2014,33.5,4.96309259,4.337217242,141.7283333,2.153152483,4.128513913,552.0045917,5.346944082,14.05564366,3.946855409,15.45063443,314.2192606,11.15200044,25.27499064,31.06666667,53.44531194,48.83324224,33.34295221,0.370363074,32.55596471,7.403415529
East Asia and Pacific (EAP),2015,33.33333333,4.808061622,4.207627187,141.2733333,1.081111408,3.89504261,536.4179829,2.286038653,9.139314271,1.207368355,8.171646055,352.7478575,9.832325394,23.49019441,30.75,52.1913796,47.00107559,33.11320601,0.360098389,32.1455373,7.706750937
East Asia and Pacific (EAP),2016,33.16666667,5.141579183,4.293624673,142.8516667,2.316947532,-2.480310682,543.1759743,1.9039362,11.43382562,2.182925856,14.57489672,373.9191157,9.815928935,24.53833282,31.36666667,52.98815372,45.16919972,33.53795957,0.353142513,31.90899414,7.342960674
East Asia and Pacific (EAP),2017,33.33333333,3.898950458,3.76601153,144.9081833,-3.824609746,6.482803721,641.964886,3.008260302,10.218439,4.451812518,15.42733709,420.4268059,10.34136676,27.22668857,31.01666667,56.41359327,46.57979039,34.52723513,0.353597246,34.90830025,7.587598738
East Asia and Pacific (EAP),2018,33.33333333,7.031535695,3.870251845,141.9252167,-1.431415752,6.928741677,764.7096904,3.713979578,13.47884324,3.991105787,13.66477051,470.1914921,10.57593876,26.08763345,31.11666667,56.99243211,46.74821738,35.10985139,0.354396002,37.00503974,7.454980208
East Asia and Pacific (EAP),2019,33.66666667,5.651801284,4.286257358,142.1079367,-1.932905248,7.239007366,676.3395536,3.165151154,8.207846432,2.743125186,10.80751483,426.4515996,12.47600167,27.79606057,31.51666667,55.95240626,47.13591822,35.05240704,0.356112812,34.84941725,9.556891055
Europe and Eurasia (E&E),2007,31,7.581982784,3.503912509,95.291,-3.466671939,14.38226488,471.5975313,7.909428496,54.8568472,11.97513892,45.86011094,305.9865497,9.540720703,24.06996292,40.62,38.32102761,52.33386412,28.7241126,0.421800364,36.73460417,5.904716993
Europe and Eurasia (E&E),2008,31.1,6.923154322,3.549082837,103.328,-0.502590964,10.98058287,582.0852188,12.21048576,31.62898579,11.76947466,12.04797643,334.079589,10.8585839,18.12702613,40.7,36.61880397,50.76501318,28.14603879,0.483734596,36.25552449,5.514985932
Europe and Eurasia (E&E),2009,32,-3.541235907,3.39167464,103.572,2.428934493,9.353168835,424.6806449,3.860272472,-1.25833054,1.360497511,4.594274443,267.3547426,11.17162865,18.58465322,34.26,32.98044289,50.07735712,25.9788825,0.430090054,37.05724746,7.179778895
Europe and Eurasia (E&E),2010,31.4,3.430435156,3.127680501,100.817,3.471572768,6.622884977,465.905895,5.273074826,8.443494971,9.748938316,14.46980634,273.7107174,12.28978342,16.92729013,32.99,35.9290427,48.26416545,26.2664903,0.430427566,37.45418177,7.957424522
Europe and Eurasia (E&E),2011,31.2,2.777775142,3.225631151,108.346,1.519026609,6.627795171,590.6939235,6.559611833,9.480866909,8.084846709,13.47521457,308.5569283,11.81866437,18.48795625,32.85,39.17484123,48.80398394,26.52414566,0.46768685,37.82061723,6.839466431
Europe and Eurasia (E&E),2012,37.1,2.135961082,3.213864451,105.317,1.870379081,5.677830079,604.9007193,2.631199839,9.079320707,3.349148935,11.92484515,320.8282914,12.22103696,17.56769281,32.47,39.73911161,48.88253481,26.35048678,0.436856122,37.6999519,9.001264389
Europe and Eurasia (E&E),2013,35.875,3.66676173,3.020837267,125.53625,0.465428861,4.10708494,634.2461472,1.848759377,11.07421964,1.597703279,14.68147532,343.7937943,13.0775205,15.99870632,33.35,40.13018707,48.25495797,26.88316581,0.425261719,37.12038539,11.87313502
Europe and Eurasia (E&E),2014,36.75,1.934542297,3.160368755,120.46,2.817935964,4.703259241,615.4629992,2.988872022,9.21639342,3.810391913,7.086188313,342.6670689,13.90796928,14.83252072,31.2875,39.81958243,49.00000398,26.21712652,0.4057989,34.33163265,12.44115559
Europe and Eurasia (E&E),2015,36.375,0.864408101,2.926716613,122.02375,-0.623581666,5.324548751,510.9977208,8.859541296,4.17726299,6.382095899,6.04660578,330.180525,13.91920287,18.99922517,31.9375,39.87591816,50.14671709,25.26946614,0.335417942,33.23048851,12.53149242
Europe and Eurasia (E&E),2016,37.25,2.464675002,2.874434249,128.45,3.292065699,5.520983006,509.3760158,4.043177109,3.104410986,5.480057791,9.584463219,345.1201846,15.06012928,23.61938443,31.7375,41.33478887,49.40073886,25.79101109,0.31209532,31.93188571,12.31185988
Europe and Eurasia (E&E),2017,38.9,4.080353216,2.43057832,120.863532,2.700990582,5.697743004,573.4118806,5.132585555,3.216967423,7.020733404,9.514651716,362.9175829,15.08764561,22.57434853,29.99,44.28179663,50.02717588,25.04479516,0.336748536,35.7669038,9.410864219
Europe and Eurasia (E&E),2018,38.3,4.277300975,2.428900812,120.763986,1.032081384,4.564296324,664.7201737,3.222399872,7.727159983,5.137691634,7.647710226,395.9329823,16.15920783,22.37821048,29.91,45.08899671,50.14925648,25.24665955,0.358819192,34.75357168,8.850808536
Europe and Eurasia (E&E),2019,38.8,4.023593979,2.60887101,120.7092,-0.299494222,4.837934774,605.2159047,2.968973819,7.887934801,3.264935416,10.77734222,358.051187,15.26141852,22.17542598,30.45,44.46538208,50.4156643,24.54177278,0.347967462,34.68203577,9.518503496
Latin America and Caribbean (LAC),2007,29.2,5.979999484,24.31832054,108.598,-2.1959268,4.877233734,235.1573126,6.548155515,14.90799635,7.302579057,17.66228685,225.8374578,13.80214601,26.67038578,47.62258667,35.51432352,54.54630711,28.89235444,0.443157758,26.37717754,5.75999305
Latin America and Caribbean (LAC),2008,29.33333333,4.851028826,25.82717205,110.4293333,-0.020869805,5.141757523,297.130243,10.9721315,12.3657618,9.397351093,13.5404212,290.5877793,14.69776369,25.84938177,46.91126667,36.08927404,53.45044881,30.56655672,0.476764757,26.68182971,5.893736287
Latin America and Caribbean (LAC),2009,28.86666667,-0.343615523,27.81192112,112.5646667,1.909034377,3.088957914,236.6804069,3.493505147,2.105280204,3.903333408,9.937536569,227.7375257,14.67410493,26.65269336,47.15764,31.90903017,53.71848085,29.34492493,0.461893631,25.35612568,6.641996958
Latin America and Caribbean (LAC),2010,29.4,4.070808623,27.57733847,117.714,-1.420680778,3.447228615,301.5397306,4.323291047,8.286894363,5.330269274,13.87027461,291.4898182,16.76428215,28.97043099,47.32724,33.36542817,52.65616873,29.24401841,0.490734402,24.75672706,7.457880249
Latin America and Caribbean (LAC),2011,28.13333333,5.400874163,27.58113482,121.3793333,-1.001703506,4.229402977,373.0778204,6.144689826,10.69871012,7.355337269,11.81851574,372.8018638,17.18972898,26.94596212,46.95881333,36.05476328,51.32792984,30.52170404,0.519665518,24.02864719,7.376248606
Latin America and Caribbean (LAC),2012,32.13333333,3.968530955,25.0175568,123.3793333,-0.361220256,4.381320178,391.2217561,4.388669416,11.70497221,4.684409039,11.60949581,389.2930034,17.45362126,25.21298032,46.65469333,36.05848558,49.71062182,31.27586848,0.534810084,25.04852247,8.339022789
Latin America and Caribbean (LAC),2013,31.33333333,4.317520675,23.63306835,130.5093333,0.666053723,4.041085917,403.387643,4.136029067,10.71330099,3.437278176,12.10276099,401.4796853,18.19888241,24.66208382,46.76,34.27393705,50.8699232,30.69776777,0.52713636,24.88200971,9.530547967
Latin America and Caribbean (LAC),2014,32.4,3.979848046,22.85077627,132.3973333,0.199970375,3.996507651,413.1159525,3.965129525,9.750548516,3.687893914,10.31652156,408.3553063,19.1850943,23.23690071,46.14666667,32.62543276,52.09208274,30.40365075,0.518195604,24.43689129,10.4342599
Latin America and Caribbean (LAC),2015,32.06666667,3.892652912,24.72445649,135.0206667,1.834409161,3.877412546,373.7257092,2.773880136,9.290426413,2.653280017,11.1041228,370.7100743,21.09137852,24.50795435,45.32,29.90538189,51.88221884,29.80531291,0.490805618,23.81521897,11.00665247
Latin America and Caribbean (LAC),2016,31.86666667,2.898623444,23.2342419,135.0333333,1.226684434,3.683990208,342.6549764,3.447397272,7.256809905,3.770328892,9.516370113,342.2137138,21.32564031,24.80293264,44.52666667,29.4731742,51.0758712,30.09511951,0.468320478,22.89336149,10.51590256
Latin America and Caribbean (LAC),2017,32.2,3.135420759,21.68968133,134.6556067,0.302822107,3.883636171,378.5153529,3.622440298,7.688778126,4.142712929,7.098137679,376.2439774,21.28338001,24.70885906,45.20666667,30.10098529,51.26716664,30.19356769,0.470505772,22.58166211,11.55981748
Latin America and Caribbean (LAC),2018,31.66666667,2.586589574,19.99568608,135.7553547,1.569945081,4.867202998,414.0008328,3.429866817,7.019892322,3.69723572,5.834719523,409.4873688,22.08961085,22.56100718,45.46666667,30.17274017,51.8643105,30.72224339,0.470567767,23.43254443,12.08031533
Latin America and Caribbean (LAC),2019,31.46666667,2.071506821,22.39583366,135.136892,1.763860609,4.655405472,420.0844506,3.022249744,6.56966099,3.623968371,8.936907886,380.9825502,21.47431292,22.2942906,45.46,30.42383097,51.59987477,30.60629636,0.460203024,22.68048324,12.31953816
Middle East and North Africa (MENA),2007,30.4,6.571795865,6.147828397,100.676,-15.49543388,8.064913171,223.0147579,1.189617915,6.667671271,7.562938522,23.50797713,143.0998566,27.05974076,46.07993703,36.60424,48.75929918,57.77474103,42.18414559,0.381366102,11.56949177,16.93646119
Middle East and North Africa (MENA),2008,31,8.168887227,6.336922131,102.134,-15.45388393,7.272392054,300.1828793,9.576577615,8.276178089,16.78735347,26.71769602,169.1388971,27.22960608,52.92258987,35.68888,50.5696576,53.76954627,43.11546287,0.443417818,12.47945393,21.8086027
Middle East and North Africa (MENA),2009,29.6,4.777737704,3.467008824,105.742,8.259141883,5.857540203,299.2672534,2.152281139,2.88958902,-6.315296972,19.00723086,187.6749122,28.40691017,42.01884295,34.70724,41.12583519,53.47366604,38.37414863,0.407456074,13.13462235,20.62508807
Middle East and North Africa (MENA),2010,28.6,3.939653666,4.39240017,112.164,-0.885715668,4.431695881,349.5304772,3.100039567,5.278209552,8.146699823,11.23134444,202.1354271,30.42861701,46.55502823,34.99324,43.97333639,54.4508775,38.81853501,0.426053798,12.16281502,23.71109301
