,Indicators,F_score,Percentile_rank
22,Gni Growth (Annual %),425,1.0
16,Claims On Central Government (Annual Growth As % Of Broad Money),402,0.9846153846153847
24,Claims On Private Sector (Annual Growth As % Of Broad Money),365,0.9692307692307692
7,"Inflation, Gdp Deflator: Linked Series (Annual %)",359,0.9461538461538461
12,"Foreign Direct Investment, Net Inflows (% Of Gdp)",359,0.9461538461538461
47,Broad Money Growth (Annual %),357,0.9230769230769231
53,"Foreign Direct Investment, Net Outflows (% Of Gdp)",353,0.9076923076923077
35,"Intentional Homicides (Per 100,000 People)",339,0.8923076923076924
18,Food Production Index (2004-2006 = 100),328,0.8769230769230769
3,"Inflation, Consumer Prices (Annual %)",317,0.8615384615384616
40,Net Barter Terms Of Trade Index (2000 = 100),308,0.8461538461538461
55,Exports Of Goods And Services (% Of Gdp),303,0.8307692307692308
29,Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,299,0.8153846153846154
48,Total Tax And Contribution Rate (% Of Profit),287,0.8
26,Bank Liquid Reserves To Bank Assets Ratio (%),278,0.7846153846153846
11,Total Reserves (% Of Total External Debt),262,0.7692307692307693
4,Gross Savings (% Of Gdp),252,0.7538461538461538
21,Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),244,0.7384615384615385
15,Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),241,0.7230769230769231
8,Domestic Private Health Expenditure (% Of Current Health Expenditure),239,0.7076923076923077
