Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,6,7,8,9,9,10,11,11,11,10,10,10,10
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,13,14,13,12,12,12,12,11,11
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,13,14,14,13,12,12,12,10,10
American Samoa,ASM,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,AND,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Control of Corruption: Number of Sources,CC.NO.SRC,10,11,12,13,13,12,13,12,10,10,10,10,11
Anguilla,AIA,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Control of Corruption: Number of Sources,CC.NO.SRC,2,1,1,1,1,1,1,1,2,2,2,2,2
Argentina,ARG,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,16,16,17,17,16,15,15,15,15,15,15
Armenia,ARM,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,14,14,14,15,14,14,14,12,12,12,11
Aruba,ABW,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,2,2,2,2,2,2,2,2,2,2,2
Australia,AUS,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,10,11,11,11,11,11,11,11,11,10
Austria,AUT,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,9,10,10,10,9,9,9,9,9,9
Azerbaijan,AZE,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,14,14,14,14,13,12,12,12,12,11,11
"Bahamas, The",BHS,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,3,3,3,3,3,3,4,4,4,4,5
Bahrain,BHR,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,8,8,8,8,8,7,6,6,5,5,6
Bangladesh,BGD,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,14,15,15,14,13,13,12,12,12,12
Barbados,BRB,Control of Corruption: Number of Sources,CC.NO.SRC,4,3,4,4,4,4,4,4,4,5,4,4,6
Belarus,BLR,Control of Corruption: Number of Sources,CC.NO.SRC,9,11,11,11,10,12,12,11,11,11,11,11,10
Belgium,BEL,Control of Corruption: Number of Sources,CC.NO.SRC,7,7,8,8,9,10,10,10,10,10,10,10,8
Belize,BLZ,Control of Corruption: Number of Sources,CC.NO.SRC,5,6,6,6,7,6,6,6,7,6,4,4,5
Benin,BEN,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,11,11,11,11,12,11,13,13,13,13,13
Bermuda,BMU,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Control of Corruption: Number of Sources,CC.NO.SRC,7,7,8,8,8,8,10,9,9,9,8,6,6
Bolivia,BOL,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,15,16,16,15,14,14,14,13,13,13
Bosnia and Herzegovina,BIH,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,11,14,13,12,13,12,12,12,11
Botswana,BWA,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,12,13,14,13,15,14,14,14,14
Brazil,BRA,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,15,16,17,16,16,13,13,15,14,15,15
Brunei Darussalam,BRN,Control of Corruption: Number of Sources,CC.NO.SRC,2,4,5,5,5,4,4,3,3,5,5,5,5
Bulgaria,BGR,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,15,15,14,14,14,13,13,13,12
Burkina Faso,BFA,Control of Corruption: Number of Sources,CC.NO.SRC,12,13,13,13,14,15,15,14,14,14,14,14,15
Burundi,BDI,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,10,11,12,13,12,12,12,11,10,10
Cabo Verde,CPV,Control of Corruption: Number of Sources,CC.NO.SRC,7,7,7,8,8,8,9,9,10,10,10,10,10
Cambodia,KHM,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,14,14,14,14,14,13,13,13,13,13,12
Cameroon,CMR,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,13,15,15,15,15,15,15,15,15,15
Canada,CAN,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,11,12,12,11,11,11,10,10,9,9
Cayman Islands,CYM,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,2,2,2,2,2,2,2,2,2,2,2
Central African Republic,CAF,Control of Corruption: Number of Sources,CC.NO.SRC,7,6,9,9,9,9,10,10,9,10,10,10,10
Chad,TCD,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,10,10,10,11,11,11,11,11,11,11
Chile,CHL,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,14,14,14,13,13,14,13,14,14
China,CHN,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,14,15,15,14,12,12,13,13,13,11
Colombia,COL,Control of Corruption: Number of Sources,CC.NO.SRC,16,16,16,16,17,17,16,15,15,15,15,15,15
Comoros,COM,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,6,6,6,6,7,7,6,7,7,7,7
"Congo, Dem. Rep.",COD,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,11,12,12,12,13,12,12,11,11,12,12
"Congo, Rep.",COG,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,9,10,11,11,11,11,11,11,11
