,Country Code,Year,Country Name,Corruption Perception Index,IncomeGroup,region_USAID,region_WorldBank,Gni Growth (Annual %),Claims On Central Government (Annual Growth As % Of Broad Money),Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)","Foreign Direct Investment, Net Inflows (% Of Gdp)",Broad Money Growth (Annual %),"Foreign Direct Investment, Net Outflows (% Of Gdp)","Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),"Inflation, Consumer Prices (Annual %)",Net Barter Terms Of Trade Index (2000 = 100),Exports Of Goods And Services (% Of Gdp),Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Total Tax And Contribution Rate (% Of Profit),Bank Liquid Reserves To Bank Assets Ratio (%),Total Reserves (% Of Total External Debt),Gross Savings (% Of Gdp),Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Domestic Private Health Expenditure (% Of Current Health Expenditure)
0,AFG,2005,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,5.550398245,2.222539822,9.047852661,10.91277354,4.364535244,19.93068825,0.024157944,5.145764334,106.32,12.68626872,118.1645932,20.02077084,0.23657778100000001,35.8,19.68036103,207.5316195,7.721032588,37.15888863,45.32223186,78.97008514
28,AFG,2006,Afghanistan,,Low income,South and Central Asia (SCA),South Asia,5.694771568999999,4.80214904,10.96268451,7.199751292999999,3.4140044439999997,33.83197881,0.010235355,5.046143732,97.63,6.78459655,125.3372193,16.17511836,0.244704967,35.8,18.90995452,201.6470319,9.165831302,40.5238902,42.87343009,76.82497406
56,AFG,2007,Afghanistan,18.0,Low income,South and Central Asia (SCA),South Asia,5.786177313,6.649364645,20.12000494,22.52775621,1.935703036,42.39516401,-0.025544654,4.906174844,108.92,8.680570785,127.5258412,16.53043892,0.292741944,35.8,17.0167002,160.7659305,11.2070724,43.28841718,40.82001499,78.16999054
84,AFG,2008,Afghanistan,15.0,Low income,South and Central Asia (SCA),South Asia,5.0258733730000005,5.542998257000001,13.09646243,2.096288748,0.455363653,31.38381712,-0.018973126,4.10505384,100.53,26.41866415,130.7658406,16.50810513,0.286553845,35.8,33.51616705,141.900322,12.14414254,73.38335901,19.62652674,75.40338898
112,AFG,2009,Afghanistan,13.0,Low income,South and Central Asia (SCA),South Asia,5.360280563,-5.353180285,10.78143504,-2.163404438,0.451055983,33.04506797,0.001986569,3.926774495,116.85,-6.811161089,140.39894009999998,16.96730188,0.288266225,35.8,37.01698759,171.99679319999998,4.31727871,66.21558635,25.60387656,72.77924347
140,AFG,2010,Afghanistan,14.0,Low income,South and Central Asia (SCA),South Asia,5.9247104760000004,-6.477074421,9.553063822999999,3.814630326,1.2031251090000001,26.9471277,-0.007870852,3.368109608,115.98,2.1785375240000002,146.8795748,16.1826331,0.317614157,35.8,34.65872703,211.95558119999998,2.02859313,55.78113373,35.74588839,78.9966507
168,AFG,2011,Afghanistan,15.0,Low income,South and Central Asia (SCA),South Asia,3.64408618,-5.758811403999999,-16.31747117,16.59334672,0.293038432,21.30916836,0.006386871999999999,4.087336724,110.74,11.80418581,146.5436497,17.17448856,0.34784756299999997,35.8,67.45983259,241.4509515,1.348363831,66.80593426,26.08962159,73.25517273
196,AFG,2012,Afghanistan,8.0,Low income,South and Central Asia (SCA),South Asia,4.969215016000001,-0.743296394,1.232524148,7.3017564770000005,0.284095594,8.727729452,-0.044300716,6.2513281670000005,122.13,6.441212809,143.3108772,11.69851076,0.335220429,35.8,65.71570109,262.0705889,12.56384193,88.65620544,10.26906949,74.48620605
224,AFG,2013,Afghanistan,8.0,Low income,South and Central Asia (SCA),South Asia,5.188080404,-1.9209656130000001,0.947105396,4.822785476,0.23496514100000002,9.914483311,0.002613283,5.822380689,119.31,7.385771784,143.2743931,6.727290342000001,0.31613038600000004,35.6,60.06361513,281.7459538,21.77355673,80.57305811,16.84919602,72.04786682
252,AFG,2014,Afghanistan,12.0,Low income,South and Central Asia (SCA),South Asia,4.698940152,5.171215962,-0.765865028,0.56694454,0.209790107,8.135571545,-9.350000000000001e-05,6.70146183,123.66,4.673996035,145.3961812,9.691866972,0.296631574,36.1,73.75483313,288.1215989,19.59472484,84.00145472,11.76688518,73.05592346
