,component_1,component_2,predicted_cluster,true_label
0,-2.235176312,15.78775355,4,Afghanistan
1,-7.70732537,-0.364704877,0,Albania
2,12.58247821,-0.389471317,3,Angola
3,-0.808181523,0.924317945,4,Armenia
4,0.807322089,6.958940253,0,Azerbaijan
5,0.599793482,3.915276759,7,Bangladesh
6,-0.699828844,-1.877258153,5,Bolivia
7,-7.816283823,-2.040314623,0,Bosnia and Herzegovina
8,-6.05265221,-1.199718025,0,Bulgaria
9,7.087401103,-3.981648369,7,Burundi
10,-1.468977954,6.790896834,4,Cambodia
11,-2.840546315,-9.126194471,9,Colombia
12,14.02701346,-6.584239876,8,Democratic Republic of Congo
13,-3.601752328,-0.843274024,10,Djibouti
14,-3.21939322,-3.399781109,0,Dominican Republic
15,-8.167987299,26.92010509,6,East Timor
16,-3.635745009,-4.349657907,0,Ecuador
17,6.648769676,3.34723931,7,Egypt
18,-7.537453009,-13.20822504,9,El Salvador
19,8.947594154,-0.090840289,7,Ethiopia
20,-1.876274632,-1.736015625,4,Georgia
21,10.37038394,-1.772228067,7,Ghana
22,-2.685325713,-6.989262679,9,Guatemala
23,10.61277503,-1.386316654,7,Guinea
24,-5.843461763,-4.506087952,0,Guyana
25,2.526388219,-3.810864039,5,Haiti
26,-5.056892547,-8.198271423,9,Honduras
27,-0.934797554,5.00480148,4,Indonesia
28,2.027514582,2.445502009,5,Iraq
29,-4.639840135,-9.484188558,9,Jamaica
30,-4.696737306,1.490624316,0,Jordan
31,2.891629153,-2.784513414,3,Kazakhstan
32,2.263592517,-0.775447212,7,Kenya
33,-5.302967691,0.209907654,0,Kosovo
34,0.377790774,1.086127942,4,Kyrgyzstan
35,-6.795618947,0.402787798,0,Laos
36,-0.658456605,1.01387251,2,Lebanon
37,-7.445220769,0.914146681,0,Liberia
38,0.978798362,-0.285008872,7,Libya
39,9.614696368,-0.681461627,7,Macedonia
40,0.280654348,-2.88035393,5,Madagascar
41,-5.635773689,-5.328175963,9,Malawi
42,-2.417319196,0.189627761,4,Mali
43,5.512845591,1.182573136,5,Mexico
44,-7.062584467,-3.250396236,0,Moldova
45,-5.461527387,1.757838053,0,Mongolia
46,0.694333249,-2.780299458,2,Montenegro
47,1.392328621,5.859417661,4,Morocco
48,1.106192,-5.613543711,5,Mozambique
49,4.710373475,5.401184298,1,Nepal
50,2.770701321,3.547273673,7,Nicaragua
51,-3.863844364,-1.834392392,0,Nigeria
52,0.088138819,-0.756716115,5,Pakistan
53,-2.564523379,-1.310722016,5,Panama
54,-5.307045159,5.096306252,4,Paraguay
55,2.711152048,-1.928669421,5,Peru
56,-3.73628999,-1.154424343,0,Philippines
57,9.574788633,3.141200681,7,Russian
58,4.123300879,0.524203773,7,Rwanda
59,-7.270001602,2.974029882,0,Senegal
60,3.564299436,4.074075101,5,Serbia
61,0.015142683,-0.6069698,4,Sierra Leone
62,6.373563901,0.501641754,7,Sri Lanka
63,2.139919442,2.640037957,4,Thailand
64,-8.578012374,0.958862254,0,Turkmenistan
65,10.55358985,3.613661511,1,Uganda
66,5.64855307,-1.364576291,3,Ukraine
