proj_desc,desc_senti_score,desc_sub_score
compon program seek exist improv implement way ensur progress achiev sustain long term project help govern islam republ afghanistan strengthen high offic oversight make strong effect institut abl lead monitor coordin report effort combat corrupt countri project work implement program institut develop sustain support offic carri prioriti asset registr verif complaint manag case track coordin monitor anticorrupt perform govern agenc,-0.051333333,0.574666667
overal goal program support rule strategi afghanistan specif pillar improv justic sector reduc corrupt pillar build leadership justic sector civil societi support pillar contractor attempt develop capac judiciari school pillar contractor work rais public awar encourag citizen resolv disput formal justic sector program divid compon capac build judiciari capac build court manag system capac build faculti sharia final public legal outreach awar strateg commun,-0.06,0.466666667
project focu strengthen improv tradit disput resolut mechan strengthen linkag formal inform justic sector develop approach address long stand intract disput,-0.05,0.4
polit parti assess team aim review materi produc report research academ think tank team interview individu involv afghan polit citi countri team afghanistan signific tradit democraci long stand past decad elector cycl recent express tradit hamper violenc corrupt local interpret islam discourag question cultur norm power structur prevent particip women polit,-0.16,0.38
justic sector strengthen project promot court transpar fair effici bolster watchdog anticorrupt role civil societi organ media strengthen legal profess legal educ albania project focu improv justic deliveri respond public demand account justic sector,0.275,0.341666667
kabul citi initi provid technic materi support kabul municip project work close partnership kabul mayor municip staff enhanc capac kabul municip administr manag function aim provid effect respons servic deliveri kabul municip depart offic improv long term sustain financi viabil kabul municip result activ kabul resid busi owner hope share renew confid local govern abil provid improv municip servic understand municip leader play activ role municip decis make process,-0.025,0.2
afghanistan parliamentari assist project apap work establish afghan parliament oper strong effect independ delib bodi project primari object design legisl strengthen strategi help establish develop strong independ effect parliament provid technic assist parliamentari committe strengthen parliament public outreach capac establish support parliamentari budget offic educ institut overal project advanc afghan parliament institut technic polit develop work member upper lower hous parliament staff leadership offic committe addit legisl support apap activ aim improv parliament constitu outreach effort commun inform technolog nation budget review,0.216666667,0.383333333
project aim includ assess rehabilit commun infrastructur basic vocat train train local govern offici cash work activ provis agricultur input equip project facilit engag commun govern offici afghan govern respons need extern organ,0,0.0625
object region afghan municip program urban popul ramp south creat effect respons democrat transpar account gender sensit municip govern target municip countri ramp south work increas capac govern islam republ afghanistan giroa municip offici improv deliveri municip servic citizen target municip increas municip capac enabl support sustain econom growth,0,0
region afghan municip program urban popul region command west ramp west project help govern islam republ afghanistan giroa establish capabl legitim govern municip level provinci capit isaf region command west herat farah chagcharan qala primari custom municip offici mayor revenu offic engin citizen benefit municip servic ramp west take learn approach help municip implement visibl servic deliveri improv project project municip offici improv capac deliv servic increas citizen satisfact trust support municip govern emb technic advisor municip staff provid necessari resourc build capac municip staff better perform core manag improv servic deliveri support econom develop ensur sound financi manag expand revenu enhanc transpar account,0.3,0.3
