proj_res,res_senti_score,res_sub_score
program develop work relationship high offic oversight anti corrupt manag staff level enabl realiz state object help realiz mandat task process strengthen institut function capac significantli outreach activ rais awar strengthen capac civil societi member activ particip promot good govern,0.12,0.713333333
project legal educ train judg help modern judici project train assign judg corrupt panel anticorrupt tribun afghan,-0.033333333,0.5
project reach particip phase project assess disput disput resolut context disput type caus disput resolut actor relationship develop understand need frame program custom activ project design execut region network meet long stand intract disput south east influenti tribal elder women south district region region network meet north elder target district region south east event result list priorit disput south east roster volunt elder south east collabor tackl disput date program elder contribut resolv long stand intract disput defin destabil,-0.05,0.4
assess team develop polit organ parti constrain afghan intern programmat factor afghan failur rule afghan govern give afghan polit organ littl reason develop patronag base organ encourag corrupt lack effect empow elect govern institut local level exacerb failur establish elect nation elect govern structur mandat afghan constitut leav afghan highli central kabul base govern programmat team implement target polit parti develop program littl reason support chang ignor elect offici kabul centric poorli coordin address polit issu elect offici focu form function polit entiti support inconsist addit team train defici build polit organ emphas campaign,0.172727273,0.713636364
septemb project instal digit record equip courtroom seven court expand number hear hold public courtroom continu support mediat program court support program union albanian judg adopt strategi action plan improv financi manag system increas membership tripl budget cso particip capac build workshop anti corrupt introduct justic project train journalist school journalist program launch depth train program justic report fellow program pilot continu legal educ program lawyer conduct train session particip journal launch nation chamber advoc produc quarterli issu year final computer searchabl databas unifi suprem court decis develop implement magistr school,-0.04,0.473333333
women council women busi develop commun establish result gender train women activ dynam elect execut committe women council greater workplac equiti women achiev municip staff undertak project manag train project manag institut second year project,0.433333333,0.466666667
qualiti legisl process improv creat committe support team target committe eventu expand support committe hous publicli avail onlin tracker develop improv legisl research capac staff gener public mechan develop improv provinci input budget review process seven budget workshop provinci council repres ministri offici support capac commiss review analyz nation budget consolid expenditur revenu report govern improv investigatori oversight visit introduc provinc monitor budget execut execut perform afghanistan parliamentari institut launch train conduct legisl process committe procedur legisl research budget process oversight represent report write english inform technolog apap train staff member civil societi member journalist final project work parliament negoti sign memorandum understand civil societi organ cso allow support particip parliamentari process nation interact radio roundtabl inform spot radio newslett radio documentari design produc broadcast promot public knowledg parliament,0,0.283333333
conduct groundbreak survey afghan measur percept stabil commun project work percent survey respond report sens stabil exceed project target percent countrywid percept stabil declin respond call stabil situat accept good rise percent percent march june respond call situat kandahar good decreas percent project post commun develop advisor govern institut train govern offici help govern institut report publicli servic deliveri improv equip govern offic commun organ basic offic infrastructur suppli includ school provinci govern offic district center provinci ministri depart commun center associ youth group sport team project provid institut inform technolog internet connect quick impact project launch provid tangibl benefit conflict affect commun complet rehabilit piec infrastructur includ build kilomet road kilomet irrig canal karez boundari protect wall final project prepar hectar sport field manag grant extend pipe scheme piec infrastructur culvert water divid,0.219047619,0.432142857
ramp south activ support municip capit citi provinc southern afghanistan kandahar citi municip kandahar provinc lashkar municip helmand provinc zaranj municip nimroz provinc tirin municip uruzgan provinc qalat municip zabul provinc nili municip daikundi provinc ramp south assist target municip develop sustain capac plan fund manag deliv essenti servic requir priorit citizen ramp south work municip offici forefront plan implement visibl accomplish result hop citizen gain satisfact trust municip govern ramp south gener municip revenu help regist busi land parcel integr financi manag ifm licens record busi assist prioriti municip servic project,0,0
ramp west assist municip implement infrastructur servic deliveri project previous identifi citizen urgent need includ construct sidewalk rehabilit road bridg drainag canal build boulevard park lot garbag bin public green space municip manag capac build plan develop municip municip offici train municip financ public administr revenu enhanc busi registr public relat outreach construct manag public work mainten municip offici partner municip hold budget hear allow citizen input budget prepar process project support partner municip hold youth municip seminar bring young peopl govern discuss citi plan touch issu cleanli citi role youth play keep citi clean final project help produc servic deliveri improv plan involv citizen express servic need prioriti identifi specif project session district level resid municip plan budget commiss guid prepar year budget econom develop steer committe establish partner municip facilit inclus develop strateg econom develop plan,0.011111111,0.314814815
