,0,1,2
0,2020-11-04 07:42:16,1323893308528103424,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
1,2020-11-04 07:42:15,1323893306477129728,"The level of internal corruption Trump is using to stay in power (refusing to accept mail-in votes, straight up lyi… https://t.co/qftUzCZVf5"
2,2020-11-04 07:42:14,1323893300030369794,RT @FrozenArctic: It really shouldn't be this close. And it's scary because that number reflects all the people who believe and support Tru…
3,2020-11-04 07:42:14,1323893299917324290,@kirstiealley @realDonaldTrump If everyone wants to face the truth. President Trump won this. It’s an obvious win t… https://t.co/Xn65mZTloQ
4,2020-11-04 07:42:12,1323893293038620672,"RT @PointBlanc999: @Dev_Fadnavis Why are these DESPERATE Mantris tweeting for Arnab? 

They don’t bother when Common Citizens suffer endles…"
5,2020-11-04 07:42:10,1323893285471965184,RT @TomFitton: Corruption update....
6,2020-11-04 07:42:10,1323893283035127810,"RT @students4tulsi: Donald Trump hasn’t won the election, and not only is this a politically idiotic position for the President to take, it…"
7,2020-11-04 07:42:09,1323893280963239936,@matthaig1 Passively bobbing along on an ocean of venal corruption and criminality is better? Better than what?
8,2020-11-04 07:42:09,1323893280749326343,@CorazonNacim @samarhihii @Chhaweed Mdrr bon je vais te sortir des arguments One piece est beaucoup plus vastes tra… https://t.co/0fhHbhi7eQ
9,2020-11-04 07:42:09,1323893279100825600,"@DetectiveMoses @LADAOffice 😂🤣😂🤣
ZERO POLICE HELD ACCOUNTABLE FOR MURDERS, RAPES, POLICE BRUTALITY, MASS MISCONDUCT… https://t.co/2d0r5oyBWo"
10,2020-11-04 07:42:08,1323893278257737729,@MyRizalPH The Cubans are staunchly conservative and tRump used the “socialism “ trigger to get their vote out. Sam… https://t.co/Ley0OcDgHg
11,2020-11-04 07:42:08,1323893277309890561,RT @sanjukta: @PrakashJavdekar @PIB_India @DDNewslive @republic What are u condemning? Are certain crime accused above law because they are…
12,2020-11-04 07:42:07,1323893272213901313,All across my feed I see nothing but corruption in the polls. From multiple people so far.
13,2020-11-04 07:42:07,1323893271496663041,RT @DrJasonJohnson: Y'all these ballots may literally be the difference in several swing states. Trump's corruption of the electoral proces…
14,2020-11-04 07:42:05,1323893265851187201,"@iDukon Les étasuniens élisent même pas leurs présidents au suffrage universel direct, t’y ajoutes les mandats repr… https://t.co/2pKBCSftZt"
15,2020-11-04 07:42:05,1323893264030797824,"RT @BeaumontDMD: I fully understand Trump's feelings on postal votes.......they open the political system to all sorts of corruption.

If y…"
16,2020-11-04 07:42:05,1323893262965497856,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
17,2020-11-04 07:42:04,1323893260503470081,"RT @YomYom_: I used to think our problem was ‘Corruption’ 

Later on, i felt it was “Religion” 

At some point, it struck me like it was “T…"
18,2020-11-04 07:42:03,1323893257089155072,RT @djrothkopf: Trump may well lose. My guess is he will. That's a big deal. It's a big deal Dems will pick up seats in the House &amp; may in…
19,2020-11-04 07:42:03,1323893256132923392,"RT @SonOfGodsFather: The struggles of life is against poverty,gross inequality, corruption, Injustice,Hate Speeches, Genocidal Myopic Thoug…"
20,2020-11-04 07:42:02,1323893250458091520,"@FarmanKhanVlogs @dtnoorkhan Thank God, PM IK is not a traditional hypocrite Pakistani politician who believe they… https://t.co/mc0AsU9aI8"
21,2020-11-04 07:41:59,1323893239758442496,Missouri applauding enabling corruption. https://t.co/Y2Tg9EdUWt
22,2020-11-04 07:41:58,1323893234188406786,This election is playing out as @POTUS predicted; corruption. @CNN @FoxNews
