Validation_Set,Topics,Alpha,Beta,Coherence
75% corpus_tfidf,2,0.01,0.01,0.3423507117820764
75% corpus_tfidf,2,0.01,0.31,0.35623211518104947
75% corpus_tfidf,2,0.01,0.61,0.3934726002319294
75% corpus_tfidf,2,0.01,0.9099999999999999,0.36224435089087426
75% corpus_tfidf,2,0.01,symmetric,0.3507222114040425
75% corpus_tfidf,2,0.31,0.01,0.32797743064973395
75% corpus_tfidf,2,0.31,0.31,0.32819083780304364
75% corpus_tfidf,2,0.31,0.61,0.33948278844447216
75% corpus_tfidf,2,0.31,0.9099999999999999,0.3548894162168387
75% corpus_tfidf,2,0.31,symmetric,0.3346409754176409
75% corpus_tfidf,2,0.61,0.01,0.2791457070184151
75% corpus_tfidf,2,0.61,0.31,0.32723685093711674
75% corpus_tfidf,2,0.61,0.61,0.30617774306983536
75% corpus_tfidf,2,0.61,0.9099999999999999,0.3087106767441504
75% corpus_tfidf,2,0.61,symmetric,0.2890163494096313
75% corpus_tfidf,2,0.9099999999999999,0.01,0.2646457627923574
75% corpus_tfidf,2,0.9099999999999999,0.31,0.2985370868585293
75% corpus_tfidf,2,0.9099999999999999,0.61,0.30223862647198585
75% corpus_tfidf,2,0.9099999999999999,0.9099999999999999,0.3031276378320049
75% corpus_tfidf,2,0.9099999999999999,symmetric,0.2511054337999855
75% corpus_tfidf,2,symmetric,0.01,0.32481338153454686
75% corpus_tfidf,2,symmetric,0.31,0.34297527147568785
75% corpus_tfidf,2,symmetric,0.61,0.36355908434620215
75% corpus_tfidf,2,symmetric,0.9099999999999999,0.36739704725083994
75% corpus_tfidf,2,symmetric,symmetric,0.33711317934907886
75% corpus_tfidf,2,asymmetric,0.01,0.27294477323076294
75% corpus_tfidf,2,asymmetric,0.31,0.2667893596788101
75% corpus_tfidf,2,asymmetric,0.61,0.2692802588319786
75% corpus_tfidf,2,asymmetric,0.9099999999999999,0.2690815411818859
75% corpus_tfidf,2,asymmetric,symmetric,0.25556969756069964
75% corpus_tfidf,3,0.01,0.01,0.3423507117820764
75% corpus_tfidf,3,0.01,0.31,0.35623211518104947
75% corpus_tfidf,3,0.01,0.61,0.3934726002319294
75% corpus_tfidf,3,0.01,0.9099999999999999,0.36224435089087426
75% corpus_tfidf,3,0.01,symmetric,0.3507222114040425
75% corpus_tfidf,3,0.31,0.01,0.32797743064973395
75% corpus_tfidf,3,0.31,0.31,0.32819083780304364
75% corpus_tfidf,3,0.31,0.61,0.33948278844447216
75% corpus_tfidf,3,0.31,0.9099999999999999,0.3548894162168387
75% corpus_tfidf,3,0.31,symmetric,0.3346409754176409
75% corpus_tfidf,3,0.61,0.01,0.2791457070184151
75% corpus_tfidf,3,0.61,0.31,0.32723685093711674
75% corpus_tfidf,3,0.61,0.61,0.30617774306983536
