Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.38327718372203334
75% Corpus,2,0.01,0.31,0.35376706690071763
75% Corpus,2,0.01,0.61,0.35502538393508626
75% Corpus,2,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,2,0.01,symmetric,0.38158581188099305
75% Corpus,2,0.31,0.01,0.3751232881762072
75% Corpus,2,0.31,0.31,0.36446039056555496
75% Corpus,2,0.31,0.61,0.3684062589057576
75% Corpus,2,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,2,0.31,symmetric,0.36623326158036773
75% Corpus,2,0.61,0.01,0.36918972358967544
75% Corpus,2,0.61,0.31,0.375565811169264
75% Corpus,2,0.61,0.61,0.38061977004094044
75% Corpus,2,0.61,0.9099999999999999,0.4111373079753431
75% Corpus,2,0.61,symmetric,0.3616775110044402
75% Corpus,2,0.9099999999999999,0.01,0.3698875558941856
75% Corpus,2,0.9099999999999999,0.31,0.37322483040449705
75% Corpus,2,0.9099999999999999,0.61,0.3586838808406735
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.43193195389066863
75% Corpus,2,0.9099999999999999,symmetric,0.359272120075299
75% Corpus,2,symmetric,0.01,0.38664703469186035
75% Corpus,2,symmetric,0.31,0.3545305939408703
75% Corpus,2,symmetric,0.61,0.3542729003580913
75% Corpus,2,symmetric,0.9099999999999999,0.35976457841776605
75% Corpus,2,symmetric,symmetric,0.3796989306669897
75% Corpus,2,asymmetric,0.01,0.3916237134788244
75% Corpus,2,asymmetric,0.31,0.35708831129706503
75% Corpus,2,asymmetric,0.61,0.3433896190328995
75% Corpus,2,asymmetric,0.9099999999999999,0.3119568786368042
75% Corpus,2,asymmetric,symmetric,0.3763693581082053
75% Corpus,3,0.01,0.01,0.38327718372203334
75% Corpus,3,0.01,0.31,0.35376706690071763
75% Corpus,3,0.01,0.61,0.35502538393508626
75% Corpus,3,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,3,0.01,symmetric,0.38158581188099305
75% Corpus,3,0.31,0.01,0.3751232881762072
75% Corpus,3,0.31,0.31,0.36446039056555496
75% Corpus,3,0.31,0.61,0.3684062589057576
75% Corpus,3,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,3,0.31,symmetric,0.36623326158036773
75% Corpus,3,0.61,0.01,0.36918972358967544
75% Corpus,3,0.61,0.31,0.375565811169264
75% Corpus,3,0.61,0.61,0.38061977004094044
75% Corpus,3,0.61,0.9099999999999999,0.4111373079753431
75% Corpus,3,0.61,symmetric,0.3616775110044402
75% Corpus,3,0.9099999999999999,0.01,0.3698875558941856
75% Corpus,3,0.9099999999999999,0.31,0.37322483040449705
75% Corpus,3,0.9099999999999999,0.61,0.3586838808406735
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.43193195389066863
75% Corpus,3,0.9099999999999999,symmetric,0.359272120075299
75% Corpus,3,symmetric,0.01,0.38664703469186035
75% Corpus,3,symmetric,0.31,0.3545305939408703
75% Corpus,3,symmetric,0.61,0.3542729003580913
75% Corpus,3,symmetric,0.9099999999999999,0.35976457841776605
75% Corpus,3,symmetric,symmetric,0.3796989306669897
75% Corpus,3,asymmetric,0.01,0.3916237134788244
75% Corpus,3,asymmetric,0.31,0.35708831129706503
75% Corpus,3,asymmetric,0.61,0.3433896190328995
75% Corpus,3,asymmetric,0.9099999999999999,0.3119568786368042
75% Corpus,3,asymmetric,symmetric,0.3763693581082053
75% Corpus,4,0.01,0.01,0.38327718372203334
75% Corpus,4,0.01,0.31,0.35376706690071763
75% Corpus,4,0.01,0.61,0.35502538393508626
75% Corpus,4,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,4,0.01,symmetric,0.38158581188099305
75% Corpus,4,0.31,0.01,0.3751232881762072
75% Corpus,4,0.31,0.31,0.36446039056555496
75% Corpus,4,0.31,0.61,0.3684062589057576
75% Corpus,4,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,4,0.31,symmetric,0.36623326158036773
75% Corpus,4,0.61,0.01,0.36918972358967544
75% Corpus,4,0.61,0.31,0.375565811169264
75% Corpus,4,0.61,0.61,0.38061977004094044
75% Corpus,4,0.61,0.9099999999999999,0.4111373079753431
75% Corpus,4,0.61,symmetric,0.3616775110044402
75% Corpus,4,0.9099999999999999,0.01,0.3698875558941856
75% Corpus,4,0.9099999999999999,0.31,0.37322483040449705
75% Corpus,4,0.9099999999999999,0.61,0.3586838808406735
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.43193195389066863
75% Corpus,4,0.9099999999999999,symmetric,0.359272120075299
75% Corpus,4,symmetric,0.01,0.38664703469186035
75% Corpus,4,symmetric,0.31,0.3545305939408703
75% Corpus,4,symmetric,0.61,0.3542729003580913
75% Corpus,4,symmetric,0.9099999999999999,0.35976457841776605
75% Corpus,4,symmetric,symmetric,0.3796989306669897
75% Corpus,4,asymmetric,0.01,0.3916237134788244
75% Corpus,4,asymmetric,0.31,0.35708831129706503
75% Corpus,4,asymmetric,0.61,0.3433896190328995
75% Corpus,4,asymmetric,0.9099999999999999,0.3119568786368042
75% Corpus,4,asymmetric,symmetric,0.3763693581082053
75% Corpus,5,0.01,0.01,0.38327718372203334
75% Corpus,5,0.01,0.31,0.35376706690071763
75% Corpus,5,0.01,0.61,0.35502538393508626
75% Corpus,5,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,5,0.01,symmetric,0.38158581188099305
75% Corpus,5,0.31,0.01,0.3751232881762072
75% Corpus,5,0.31,0.31,0.36446039056555496
75% Corpus,5,0.31,0.61,0.3684062589057576
75% Corpus,5,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,5,0.31,symmetric,0.36623326158036773
75% Corpus,5,0.61,0.01,0.36918972358967544
75% Corpus,5,0.61,0.31,0.375565811169264
75% Corpus,5,0.61,0.61,0.38061977004094044
75% Corpus,5,0.61,0.9099999999999999,0.4111373079753431
75% Corpus,5,0.61,symmetric,0.3616775110044402
75% Corpus,5,0.9099999999999999,0.01,0.3698875558941856
75% Corpus,5,0.9099999999999999,0.31,0.37322483040449705
75% Corpus,5,0.9099999999999999,0.61,0.3586838808406735
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.43193195389066863
75% Corpus,5,0.9099999999999999,symmetric,0.359272120075299
75% Corpus,5,symmetric,0.01,0.38664703469186035
75% Corpus,5,symmetric,0.31,0.3545305939408703
75% Corpus,5,symmetric,0.61,0.3542729003580913
75% Corpus,5,symmetric,0.9099999999999999,0.35976457841776605
75% Corpus,5,symmetric,symmetric,0.3796989306669897
75% Corpus,5,asymmetric,0.01,0.3916237134788244
75% Corpus,5,asymmetric,0.31,0.35708831129706503
75% Corpus,5,asymmetric,0.61,0.3433896190328995
75% Corpus,5,asymmetric,0.9099999999999999,0.3119568786368042
75% Corpus,5,asymmetric,symmetric,0.3763693581082053
75% Corpus,6,0.01,0.01,0.38327718372203334
75% Corpus,6,0.01,0.31,0.35376706690071763
75% Corpus,6,0.01,0.61,0.35502538393508626
75% Corpus,6,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,6,0.01,symmetric,0.38158581188099305
75% Corpus,6,0.31,0.01,0.3751232881762072
75% Corpus,6,0.31,0.31,0.36446039056555496
75% Corpus,6,0.31,0.61,0.3684062589057576
75% Corpus,6,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,6,0.31,symmetric,0.36623326158036773
75% Corpus,6,0.61,0.01,0.36918972358967544
75% Corpus,6,0.61,0.31,0.375565811169264
75% Corpus,6,0.61,0.61,0.38061977004094044
75% Corpus,6,0.61,0.9099999999999999,0.4111373079753431
75% Corpus,6,0.61,symmetric,0.3616775110044402
75% Corpus,6,0.9099999999999999,0.01,0.3698875558941856
75% Corpus,6,0.9099999999999999,0.31,0.37322483040449705
75% Corpus,6,0.9099999999999999,0.61,0.3586838808406735
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.43193195389066863
75% Corpus,6,0.9099999999999999,symmetric,0.359272120075299
75% Corpus,6,symmetric,0.01,0.38664703469186035
75% Corpus,6,symmetric,0.31,0.3545305939408703
75% Corpus,6,symmetric,0.61,0.3542729003580913
75% Corpus,6,symmetric,0.9099999999999999,0.35976457841776605
75% Corpus,6,symmetric,symmetric,0.3796989306669897
75% Corpus,6,asymmetric,0.01,0.3916237134788244
75% Corpus,6,asymmetric,0.31,0.35708831129706503
75% Corpus,6,asymmetric,0.61,0.3433896190328995
75% Corpus,6,asymmetric,0.9099999999999999,0.3119568786368042
75% Corpus,6,asymmetric,symmetric,0.3763693581082053
75% Corpus,7,0.01,0.01,0.38327718372203334
75% Corpus,7,0.01,0.31,0.35376706690071763
75% Corpus,7,0.01,0.61,0.35502538393508626
75% Corpus,7,0.01,0.9099999999999999,0.3426789045026874
75% Corpus,7,0.01,symmetric,0.38158581188099305
75% Corpus,7,0.31,0.01,0.3751232881762072
75% Corpus,7,0.31,0.31,0.36446039056555496
75% Corpus,7,0.31,0.61,0.3684062589057576
75% Corpus,7,0.31,0.9099999999999999,0.39245617757500184
75% Corpus,7,0.31,symmetric,0.36623326158036773
