,Topic0,Topic1,Topic2,Topic3,Topic4,dominant_topic
Doc0,0.03,0.03,0.03,0.03,0.89,4
Doc1,0.03,0.03,0.03,0.41,0.49,4
Doc2,0.05,0.05,0.05,0.81,0.05,3
Doc3,0.04,0.04,0.12,0.04,0.74,4
Doc4,0.04,0.04,0.04,0.46,0.43,3
Doc5,0.03,0.03,0.03,0.03,0.87,4
Doc6,0.03,0.03,0.03,0.03,0.88,4
Doc7,0.04,0.04,0.08,0.04,0.8,4
Doc8,0.04,0.04,0.04,0.04,0.86,4
Doc9,0.03,0.03,0.03,0.03,0.88,4
Doc10,0.03,0.03,0.03,0.03,0.86,4
Doc11,0.03,0.03,0.03,0.03,0.87,4
Doc12,0.04,0.04,0.04,0.82,0.05,3
Doc13,0.03,0.03,0.03,0.03,0.87,4
Doc14,0.03,0.03,0.03,0.07,0.82,4
Doc15,0.05,0.05,0.05,0.05,0.8,4
Doc16,0.04,0.04,0.04,0.84,0.04,3
Doc17,0.04,0.04,0.04,0.04,0.85,4
Doc18,0.04,0.08,0.04,0.04,0.8,4
Doc19,0.03,0.03,0.03,0.03,0.87,4
Doc20,0.05,0.05,0.05,0.05,0.79,4
Doc21,0.03,0.03,0.03,0.03,0.86,4
Doc22,0.03,0.03,0.03,0.03,0.86,4
Doc23,0.04,0.04,0.04,0.22,0.67,4
Doc24,0.03,0.03,0.03,0.83,0.08,3
Doc25,0.03,0.03,0.03,0.03,0.87,4
Doc26,0.03,0.03,0.05,0.03,0.85,4
Doc27,0.06,0.06,0.75,0.06,0.07,2
Doc28,0.03,0.03,0.03,0.03,0.88,4
Doc29,0.05,0.05,0.05,0.05,0.81,4
Doc30,0.04,0.04,0.04,0.22,0.67,4
Doc31,0.04,0.04,0.17,0.04,0.72,4
Doc32,0.03,0.06,0.03,0.03,0.85,4
Doc33,0.04,0.11,0.04,0.78,0.04,3
Doc34,0.03,0.03,0.03,0.38,0.52,4
Doc35,0.04,0.04,0.04,0.84,0.04,3
Doc36,0.04,0.27,0.04,0.04,0.61,4
Doc37,0.05,0.05,0.05,0.71,0.15,3
Doc38,0.03,0.03,0.03,0.03,0.87,4
Doc39,0.04,0.04,0.04,0.04,0.83,4
Doc40,0.04,0.04,0.1,0.78,0.04,3
Doc41,0.03,0.03,0.03,0.03,0.88,4
Doc42,0.04,0.04,0.04,0.04,0.85,4
Doc43,0.03,0.03,0.03,0.03,0.89,4
Doc44,0.04,0.04,0.04,0.04,0.85,4
Doc45,0.03,0.03,0.03,0.03,0.87,4
Doc46,0.03,0.03,0.03,0.62,0.3,3
Doc47,0.03,0.03,0.03,0.03,0.87,4
Doc48,0.03,0.03,0.03,0.03,0.87,4
Doc49,0.05,0.05,0.05,0.05,0.82,4
Doc50,0.04,0.04,0.04,0.04,0.84,4
