,Index,Country Code,Country Name,Year,IncomeGroup,Corruption Perception Index,Gni Growth (Annual %),"Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),Claims On Central Government (Annual Growth As % Of Broad Money),"Foreign Direct Investment, Net Inflows (% Of Gdp)",Import Value Index (2000 = 100),"Inflation, Consumer Prices (Annual %)",Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)",Broad Money Growth (Annual %),Import Volume Index (2000 = 100),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Bank Liquid Reserves To Bank Assets Ratio (%),Total Tax And Contribution Rate (% Of Profit),Exports Of Goods And Services (% Of Gdp),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),"Industry (Including Construction), Value Added (% Of Gdp)",Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Net Barter Terms Of Trade Index (2000 = 100),"Labor Force Participation Rate, Total (% Of Total Population Ages 15-64) (Modeled Ilo Estimate)","Foreign Direct Investment, Net Outflows (% Of Gdp)",Refugee Population By Country Or Territory Of Origin,Domestic Private Health Expenditure (% Of Current Health Expenditure),Trade In Services (% Of Gdp),Total Reserves (% Of Total External Debt),Military Expenditure (% Of General Government Expenditure),General Government Final Consumption Expenditure (% Of Gdp),"Access To Electricity, Rural (% Of Rural Population)"
0,196,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
1,197,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
2,198,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
3,199,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
4,200,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
5,201,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
6,202,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
7,203,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
8,204,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
9,205,AFG,Afghanistan,2007,Low income,18.0,5.786177313,4.906174844,108.92,6.649364645,1.935703036,256.9955166,8.680570785,20.12000494,22.52775621,42.39516401,187.69747880000003,45.01165564,17.0167002,35.8,16.53043892,15.473387699999998,26.88224161,0.292741944,43.28841718,40.82001499,127.5258412,49.34400177,-0.025544654,3057655.0,78.16999054,20.71866764,160.7659305,11.94840462,11.04200573,19.868266199999997
