country,intervention_type
Afghanistan,Awareness
Afghanistan,Transparency
Afghanistan,Awareness
Afghanistan,Assessment
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Accountability
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Awareness
Afghanistan,Awareness
Afghanistan,Awareness
Afghanistan,Transparency
Afghanistan,Transparency
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Transparency
Afghanistan,Accountability
Afghanistan,Participation
Afghanistan,Assessment
Afghanistan,Assessment
Afghanistan,Assessment
Afghanistan,Awareness
Afghanistan,Awareness
Afghanistan,Accountability
Afghanistan,Awareness
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Participation
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Accountability
Afghanistan,Accountability
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Transparency
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Participation
Afghanistan,Participation
Albania,Transparency
Albania,Enforcement
Albania,Transparency
Albania,Transparency
Albania,Transparency
Albania,Enforcement
Albania,Transparency
Albania,Enforcement
Albania,Accountability
Albania,Transparency
Albania,Accountability
Albania,Participation
Albania,Participation
Albania,Transparency
Albania,Accountability
Albania,Transparency
Albania,Awareness
Albania,Accountability
Albania,Accountability
Albania,Accountability
Angola,Transparency
Angola,Accountability
Armenia,Participation
Armenia,Participation
Armenia,Transparency
Armenia,Enforcement
Armenia,Awareness
Azerbaijan,Awareness
Azerbaijan,Transparency
Azerbaijan,Transparency
Azerbaijan,Enforcement
Azerbaijan,Transparency
Azerbaijan,Participation
Azerbaijan,Accountability
Azerbaijan,Accountability
Bangladesh,Transparency
Bangladesh,Awareness
Bangladesh,Awareness
Bangladesh,Accountability
Bangladesh,Participation
Bangladesh,Participation
Bangladesh,Participation
Bolivia,Transparency
Bolivia,Accountability
Bolivia,Awareness
Bolivia,Participation
Bosnia and Herzegovina,Assessment
Bosnia and Herzegovina,Enforcement
Bosnia and Herzegovina,Enforcement
Bosnia and Herzegovina,Accountability
Bosnia and Herzegovina,Enforcement
Bosnia and Herzegovina,Transparency
Bosnia and Herzegovina,Accountability
Bosnia and Herzegovina,Transparency
Bosnia and Herzegovina,Transparency
Bosnia and Herzegovina,Accountability
Bosnia and Herzegovina,Awareness
Bosnia and Herzegovina,Participation
Bosnia and Herzegovina,Participation
Bulgaria,Transparency
Bulgaria,Accountability
Burundi,Transparency
Burundi,Transparency
Burundi,Accountability
Burundi,Accountability
Burundi,Participation
Burundi,Participation
Cambodia,Awareness
Cambodia,Transparency
