country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,topic4_max,topic4_median
Afghanistan,3.0714285714285716,0,7,3.0,0.03642857142857144,0.03,0.06,0.03,0.03785714285714287,0.03,0.08,0.03,0.06607142857142859,0.03,0.75,0.035,0.17642857142857138,0.03,0.84,0.04,0.6796428571428571,0.04,0.89,0.835
Albania,3.75,2,5,3.5,0.0375,0.03,0.05,0.04,0.07875000000000001,0.03,0.27,0.045,0.05374999999999999,0.03,0.17,0.04,0.30875,0.03,0.78,0.21,0.52375,0.04,0.87,0.565
Angola,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
Armenia,4.25,4,5,4.0,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8625,0.83,0.89,0.865
Azerbaijan,2.8,1,4,3.0,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.15,0.03,0.62,0.03,0.752,0.3,0.87,0.87
Bangladesh,4.333333333333333,3,5,5.0,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.8466666666666667,0.82,0.88,0.84
Bolivia,4.0,3,5,4.0,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.86,0.84,0.88,0.86
Bosnia and Herzegovina,3.5,0,5,4.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.043333333333333335,0.03,0.1,0.03,0.38833333333333336,0.03,0.85,0.32,0.5,0.04,0.89,0.58
Bulgaria,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07,0.77,0.77,0.77,0.77
Burundi,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
Cambodia,4.285714285714286,0,5,5.0,0.03428571428571429,0.03,0.04,0.03,0.03428571428571429,0.03,0.04,0.03,0.055714285714285716,0.03,0.19,0.03,0.48714285714285716,0.03,0.86,0.56,0.3885714285714286,0.04,0.89,0.34
Colombia,3.5,2,4,4.0,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.3375,0.03,0.8,0.26,0.55,0.05,0.87,0.64
Democratic Republic of Congo,4.5,4,5,4.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.45,0.04,0.86,0.45,0.445,0.04,0.85,0.445
Djibouti,2.0,2,2,2.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.88,0.88,0.88
Dominican Republic,3.7142857142857144,2,6,4.0,0.037142857142857144,0.03,0.05,0.04,0.04857142857142858,0.03,0.1,0.04,0.037142857142857144,0.03,0.05,0.04,0.3185714285714286,0.03,0.78,0.07,0.5542857142857144,0.06,0.87,0.77
East Timor,3.5,0,10,2.0,0.03833333333333334,0.03,0.05,0.04,0.03833333333333334,0.03,0.05,0.04,0.06,0.03,0.14,0.045,0.08333333333333333,0.03,0.16,0.07500000000000001,0.7866666666666667,0.66,0.86,0.8
Ecuador,3.6666666666666665,3,5,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.87,0.89,0.88
Egypt,5.222222222222222,4,8,5.0,0.031111111111111114,0.03,0.04,0.03,0.031111111111111114,0.03,0.04,0.03,0.031111111111111114,0.03,0.04,0.03,0.5855555555555555,0.03,0.89,0.83,0.31666666666666665,0.03,0.87,0.04
El Salvador,4.5,4,5,4.5,0.035,0.03,0.04,0.035,0.065,0.03,0.16,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8275,0.73,0.87,0.855
Ethiopia,5.0,5,5,5.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Georgia,3.75,3,4,4.0,0.0375,0.03,0.04,0.04,0.05,0.03,0.09,0.04,0.0375,0.03,0.04,0.04,0.635,0.03,0.86,0.825,0.255,0.04,0.9,0.04
Ghana,3.0,3,3,3.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83
Guatemala,3.8,3,4,4.0,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.196,0.03,0.83,0.04,0.696,0.04,0.88,0.85
Guinea,1.0,1,1,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.74,0.74,0.74,0.74,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Guyana,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.055,0.03,0.08,0.055,0.03,0.03,0.03,0.03,0.045,0.03,0.06,0.045,0.83,0.82,0.84,0.83
Haiti,4.0,4,4,4.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
Honduras,2.6666666666666665,0,5,3.0,0.04,0.03,0.06,0.03,0.04,0.03,0.06,0.03,0.26666666666666666,0.03,0.74,0.03,0.32666666666666666,0.03,0.88,0.07,0.32666666666666666,0.03,0.88,0.07
Indonesia,3.1176470588235294,0,6,4.0,0.03588235294117647,0.03,0.05,0.03,0.04411764705882354,0.03,0.18,0.03,0.048823529411764724,0.03,0.15,0.04,0.2958823529411765,0.03,0.86,0.09,0.5758823529411765,0.04,0.89,0.75
Iraq,3.625,2,5,3.5,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.14875000000000002,0.03,0.87,0.035,0.7575,0.03,0.89,0.87
Jamaica,6.0,6,6,6.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Jordan,3.7142857142857144,2,5,4.0,0.03428571428571429,0.03,0.04,0.03,0.04571428571428572,0.03,0.12,0.03,0.03428571428571429,0.03,0.04,0.03,0.4428571428571429,0.03,0.89,0.42,0.4428571428571429,0.03,0.9,0.47
Kazakhstan,3.75,2,5,4.0,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.7925,0.66,0.87,0.8200000000000001,0.09249999999999999,0.03,0.25,0.045
Kenya,2.75,2,4,2.5,0.04,0.03,0.05,0.04,0.11249999999999999,0.04,0.27,0.07,0.05,0.04,0.07,0.045,0.24250000000000002,0.03,0.84,0.05,0.5525,0.04,0.8,0.685
Kosovo,3.1666666666666665,3,4,3.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.3266666666666666,0.03,0.89,0.09,0.575,0.03,0.88,0.815
Kyrgyzstan,3.4285714285714284,2,9,3.0,0.037142857142857144,0.03,0.04,0.04,0.037142857142857144,0.03,0.04,0.04,0.037142857142857144,0.03,0.04,0.04,0.32999999999999996,0.03,0.87,0.04,0.557142857142857,0.03,0.88,0.84
"Kyrgyzstan, Kazakhstan, Tajikistan",5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45
"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.8,0.8,0.8,0.8
Laos,4.0,4,4,4.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.62,0.62,0.62,0.62,0.29,0.29,0.29,0.29
Lebanon,4.714285714285714,2,10,3.0,0.03571428571428571,0.03,0.05,0.03,0.03571428571428571,0.03,0.05,0.03,0.04,0.03,0.06,0.04,0.2542857142857143,0.03,0.84,0.03,0.6342857142857143,0.04,0.89,0.85
Liberia,3.6666666666666665,2,5,4.0,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04666666666666667,0.04,0.05,0.05,0.84,0.81,0.87,0.84
Libya,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.61,0.61,0.61,0.61,0.26,0.26,0.26,0.26
Macedonia,4.142857142857143,3,6,4.0,0.03428571428571429,0.03,0.04,0.03,0.038571428571428576,0.03,0.07,0.03,0.038571428571428576,0.03,0.06,0.04,0.35428571428571426,0.03,0.87,0.04,0.5342857142857143,0.03,0.88,0.82
Madagascar,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Malawi,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.84,0.84,0.84,0.84
Mali,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89
Mexico,5.0,5,5,5.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16499999999999998,0.04,0.29,0.16499999999999998,0.71,0.59,0.83,0.71
