,country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,dominant_topic,topic4_median,dominant_topic_4_count,dominant_topic_3_count,dominant_topic_2_count,dominant_topic_1_count,dominant_topic_0_count,max_count_topic_categories,Independent_Agencies_count,Rule_of_Law_count,Elections_and_Political_Processes_count,Local_Government_count,Legislature_count,Economic_Governance_count,Disaster_Recovery_count,Economic_Growth_count,Media_count,Civil_Society_count,Agriculture_and_Food_Security_count,Governance_count,Healthcare_count,Public_Finance_count,Environment_count,Private_Sector_count,Democracy_and_Governance_count,Gender_Equality_count,Natural_Resource_count,Education_count,max_count_sector_categories
0,Afghanistan,3.071428571428572,0,7,3.0,0.036428571428571435,0.03,0.06,0.03,0.03785714285714287,0.03,0.08,0.03,0.06607142857142859,0.03,0.75,0.035,0.17642857142857138,0.03,0.84,0.04,0.6796428571428571,0.04,0.89,0.835,23.0,3.0,2.0,0.0,0.0,dominant_topic_4_count,1.0,2.0,4.0,11.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
1,Albania,3.75,2,5,3.5,0.0375,0.03,0.05,0.04,0.07875000000000001,0.03,0.27,0.045,0.053749999999999985,0.03,0.17,0.04,0.30875,0.03,0.78,0.21,0.52375,0.04,0.87,0.565,5.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
2,Angola,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
3,Armenia,4.25,4,5,4.0,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8625,0.83,0.89,0.865,4.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Civil_Society_count
4,Azerbaijan,2.8,1,4,3.0,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.032,0.03,0.04,0.03,0.15,0.03,0.62,0.03,0.752,0.3,0.87,0.87,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLegislature_countEconomic_Growth_countCivil_Society_countPublic_Finance_count
5,Bangladesh,4.333333333333333,3,5,5.0,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.8466666666666667,0.82,0.88,0.84,3.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_countGovernance_count
6,Bolivia,4.0,3,5,4.0,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.86,0.84,0.88,0.86,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
7,Bosnia and Herzegovina,3.5,0,5,4.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.043333333333333335,0.03,0.1,0.03,0.38833333333333336,0.03,0.85,0.32,0.5,0.04,0.89,0.58,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
8,Bulgaria,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07,0.77,0.77,0.77,0.77,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
9,Burundi,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
10,Cambodia,4.285714285714286,0,5,5.0,0.03428571428571429,0.03,0.04,0.03,0.03428571428571429,0.03,0.04,0.03,0.055714285714285716,0.03,0.19,0.03,0.4871428571428572,0.03,0.86,0.56,0.3885714285714286,0.04,0.89,0.34,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
11,Colombia,3.5,2,4,4.0,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.3375,0.03,0.8,0.26,0.55,0.05,0.87,0.64,2.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_count
